6014 -3.59 0 665.544
0.0325500 0.9449820 21.0026179 21.0026179 11.3914711
0.0357000 0.9408820 22.9782825 22.9782825 11.4744835
0.0399000 0.9349439 25.5977777 25.5977777 11.5787065
0.0451500 0.9272944 28.8481864 28.8481864 11.7203131
0.0504000 0.9201742 32.0734608 32.0734608 11.8468260
0.0567000 0.9125564 35.9130515 35.9130515 12.0123845
0.0640500 0.9036948 40.3513328 40.3513328 12.1807539
0.0714000 0.8956600 44.7495852 44.7495852 12.3506629
0.0798000 0.8870348 49.7310660 49.7310660 12.5183959
0.0892500 0.8766666 55.2721084 55.2721084 12.7130585
0.1008000 0.8635853 61.9537544 61.9537544 12.9150363
0.1123500 0.8517515 68.5414363 68.5414363 13.0951789
0.1260000 0.8406002 76.2226708 76.2226708 13.3171749
0.1417500 0.8280681 84.9595828 84.9595828 13.5466630
0.1585500 0.8145111 94.1373693 94.1373693 13.7790861
0.1785000 0.7997288 104.8475537 104.8475537 14.0355644
0.2005500 0.7855041 116.4766222 116.4766222 14.2948917
0.2247000 0.7686835 128.9550245 128.9550245 14.5450397
0.2520000 0.7507335 142.7558740 142.7558740 14.8160783
0.2824500 0.7355085 157.8055999 157.8055999 15.0636483
0.3171000 0.7181488 174.5491443 174.5491443 15.3378183
0.3549000 0.6994106 192.3678548 192.3678548 15.5392468
0.3990000 0.6828952 212.6664335 212.6664335 15.8097889
0.4473000 0.6653198 234.3090846 234.3090846 16.1230911
0.5019000 0.6497647 258.1363093 258.1363093 16.3356709
0.5628000 0.6331117 284.1435441 284.1435441 16.5740170
0.6310500 0.6096326 312.3256505 312.3256505 16.7881029
0.7087500 0.5901701 343.3271614 343.3271614 16.9250875
0.7948500 0.5732040 376.6167797 376.6167797 17.1289441
0.8914500 0.5540881 412.8418597 412.8418597 17.3118211
1.0006500 0.5309895 452.2572016 452.2572016 17.4902029
1.1227651 0.5141617 494.7924806 494.7924806 17.6800865
1.2594751 0.4982191 540.7055287 540.7055287 17.8110913
1.4127226 0.4818039 590.7344557 590.7344557 17.9282491
1.5858151 0.4624128 644.9886703 644.9886703 18.0593216
1.7787526 0.4453199 703.0683717 703.0683717 18.1809723
1.9959451 0.4310063 766.1741072 766.1741072 18.3241726
2.2393220 0.4123210 834.3396094 834.3396094 18.4398496
2.5125215 0.3945117 907.6274160 907.6274160 18.5290640
2.8192921 0.3763830 986.3607385 986.3607385 18.6747526
3.1631068 0.3653850 1071.3759398 1071.3759398 18.7577307
3.5483644 0.3497926 1162.9068672 1162.9068672 18.7934818
3.9810846 0.3382371 1261.8330206 1261.8330206 18.9245608
4.4672872 0.3297419 1370.2215431 1370.2215431 18.9192180
5.0118948 0.3183415 1487.6377320 1487.6377320 19.0368024
