 1010 -4 0.001
0.01 0.994777 8.76901 8.76901
0.02 0.989811 17.4929 17.4929
0.03 0.984669 26.173 26.173
0.05 0.974771 43.3992 43.3992
0.07 0.965243 60.4552 60.4552
0.1 0.951338 85.73 85.73
0.2 0.909297 167.469 167.469
0.3 0.873987 245.826 245.826
0.5 0.8148 394.09 394.09
0.7 0.767386 533.031 533.031
1 0.713904 728.048 728.048
2 0.601791 1300.85 1300.85
3 0.538465 1800.24 1800.24
5 0.466787 2676.64 2676.64
7 0.423719 3457.5 3457.5
10 0.383865 4520.18 4520.18
15 0.344001 6113.61 6113.61
20 0.317308 7561.17 7561.17
30 0.286024 10211.9 10211.9
50 0.254322 14930.2 14930.2
70 0.235914 19222.3 19222.3
100 0.214486 25131.8 25131.8
150 0.194529 34130.6 34130.6
200 0.183325 42434.4 42434.4
300 0.165675 57695.7 57695.7
500 0.146679 84949.5 84949.5
700 0.135102 109450 109450
1000 0.121514 143291 143291
1500 0.112538 194578 194578
2000 0.105693 242409 242409
3000 0.0984847 332290 332290
5000 0.0880293 493890 493890
7000 0.081427 641404 641404
10000 0.0767376 852012 852012
15000 0.0725109 1.18301e+06 1.18301e+06
20000 0.0661825 1.48971e+06 1.48971e+06
30000 0.0603194 2.05755e+06 2.05755e+06
40000 0.0549915 2.57672e+06 2.57672e+06
50000 0.051054 3.04453e+06 3.04453e+06
60000 0.0519375 3.49878e+06 3.49878e+06
70000 0.0512952 3.95614e+06 3.95614e+06
80000 0.0483441 4.40995e+06 4.40995e+06
90000 0.0463348 4.8362e+06 4.8362e+06
100000 0.0482527 5.25908e+06 5.25908e+06
150000 0.0474788 7.27e+06 7.27e+06
200000 0.041236 9.11062e+06 9.11062e+06
300000 0.0416244 1.29605e+07 1.29605e+07
400000 0.0453808 1.66432e+07 1.66432e+07
500000 0.0392157 2.02342e+07 2.02342e+07
600000 0.0379583 2.35632e+07 2.35632e+07
700000 0.0371763 2.68756e+07 2.68756e+07
800000 0.0378703 3.03015e+07 3.03015e+07
900000 0.0421119 3.38345e+07 3.38345e+07
1e+06 0.0450146 3.75363e+07 3.75363e+07
