6011 -4.5 0 984.326
0.0325500 0.9779019 31.6710894 31.6710894 299.1210369
0.0357000 0.9758552 34.6989743 34.6989743 299.1207787
0.0399000 0.9731026 38.7262120 38.7262120 299.1209189
0.0451500 0.9697356 43.7446727 43.7446727 299.1221135
0.0504000 0.9661636 48.7446912 48.7446912 299.1204590
0.0567000 0.9622946 54.7219774 54.7219774 299.1219414
0.0640500 0.9577222 61.6651725 61.6651725 299.1187487
0.0714000 0.9534556 68.5763926 68.5763926 299.1193402
0.0798000 0.9489097 76.4383437 76.4383437 299.1206615
0.0892500 0.9437198 85.2377121 85.2377121 299.1199457
0.1008000 0.9371515 95.9278734 95.9278734 299.1133276
0.1123500 0.9311493 106.5444103 106.5444103 299.1066522
0.1260000 0.9237608 119.0021541 119.0021541 299.0974347
0.1417500 0.9155927 133.2572849 133.2572849 299.0873233
0.1585500 0.9072283 148.3240355 148.3240355 299.0739768
0.1785000 0.8977006 166.0395366 166.0395366 299.0610642
0.2005500 0.8874414 185.4079998 185.4079998 299.0396670
0.2247000 0.8767111 206.3722770 206.3722770 299.0095803
0.2520000 0.8651381 229.7671626 229.7671626 298.9865691
0.2824500 0.8535408 255.5131590 255.5131590 298.9565008
0.3171000 0.8409752 284.4019916 284.4019916 298.9182249
0.3549000 0.8276593 315.4268896 315.4268896 298.8826651
0.3990000 0.8130194 351.0221641 351.0221641 298.8344870
0.4473000 0.7989355 389.3240103 389.3240103 298.7942866
0.5019000 0.7832541 431.8343387 431.8343387 298.7417687
0.5628000 0.7677768 478.3107947 478.3107947 298.7009570
0.6310500 0.7518225 529.3452722 529.3452722 298.6528961
0.7087500 0.7352908 586.2136791 586.2136791 298.6031615
0.7948500 0.7186106 647.7949201 647.7949201 298.5439444
0.8914500 0.7019146 715.3110310 715.3110310 298.4835731
1.0006500 0.6859133 789.8854173 789.8854173 298.4310556
1.1227651 0.6701933 871.3565743 871.3565743 298.3754365
1.2594751 0.6531136 960.3660737 960.3660737 298.3344093
1.4127226 0.6358519 1057.4827516 1057.4827516 298.2793691
1.5858151 0.6199747 1164.4837915 1164.4837915 298.2214706
1.7787526 0.6036683 1280.5658574 1280.5658574 298.1661018
1.9959451 0.5881173 1407.9856310 1407.9856310 298.1160856
2.2393220 0.5730932 1547.1344456 1547.1344456 298.0725813
2.5125215 0.5577522 1699.2237851 1699.2237851 298.0144626
2.8192921 0.5443976 1865.4182426 1865.4182426 297.9697145
3.1631068 0.5292340 2047.0091104 2047.0091104 297.9064960
3.5483644 0.5165514 2245.2855296 2245.2855296 297.8690402
3.9810846 0.5034326 2462.3683806 2462.3683806 297.8196942
4.4672872 0.4864675 2698.9966673 2698.9966673 297.7743977
5.0118948 0.4763485 2957.2777756 2957.2777756 297.7401947
5.6245099 0.4642960 3240.8718374 3240.8718374 297.6926576
6.3098094 0.4521724 3549.6210311 3549.6210311 297.6531203
7.0803644 0.4391271 3887.8319974 3887.8319974 297.6237731
7.9440561 0.4301206 4256.8810472 4256.8810472 297.5799471
8.9125633 0.4170055 4660.9425643 4660.9425643 297.5411702
10.0014481 0.4077934 5103.0511575 5103.0511575 297.5002464
11.2210876 0.4005252 5588.0883249 5588.0883249 297.4610012
12.5894367 0.3920804 6121.8508273 6121.8508273 297.4252636
14.1269504 0.3855074 6709.8386212 6709.8386212 297.3917721
15.8491767 0.3755808 7355.0108320 7355.0108320 297.3497810
17.7840324 0.3678762 8063.8624465 8063.8624465 297.3227372
19.9529062 0.3594098 8838.9857880 8838.9857880 297.2857581
22.3872322 0.3518630 9693.3735791 9693.3735791 297.2328293
25.1199938 0.3455630 10631.0130472 10631.0130472 297.2213650
28.1840786 0.3389472 11663.9050087 11663.9050087 297.1725516
31.6237393 0.3335497 12802.4313061 12802.4313061 297.1272084
35.4826072 0.3241641 14049.9109177 14049.9109177 297.1089387
39.8132470 0.3177817 15422.4662029 15422.4662029 297.0546868
44.6694872 0.3128778 16936.6034128 16936.6034128 297.0107615
50.1205675 0.3059582 18594.3184102 18594.3184102 296.9486977
56.2377471 0.3027457 20426.7523243 20426.7523243 296.9048803
63.0967693 0.2945270 22444.4779228 22444.4779228 296.8575044
70.7954662 0.2892918 24667.1558190 24667.1558190 296.7957445
79.4340106 0.2859303 27105.7778538 27105.7778538 296.7131963
