5 17.84015942043281 1.39999997615814 24965
38.61901220599813 40.05241767388787 22.74214116946061 1.39999997615814 585
38.98054197959144 42.39047895760800 21.29299812817324 1.39999997615814 27389
39.28998905848243 41.06754828609027 25.25760026128452 1.39999997615814 17557
38.42453268384477 41.02100598070754 27.48897525646252 1.00000000000000 14362
38.03362489689204 40.45836631054661 30.54304153300004 1.00000000000000 13448
39.09062982698970 42.30115048447148 29.42689861457903 1.39999997615814 31803
37.89195965160457 40.40738776062774 32.52161856972864 1.00000000000000 8972
39.47123455548251 42.19235876762326 32.17297282282914 1.39999997615814 6685
38.90882079049220 40.93067896738512 34.14855677815677 1.00000000000000 17652
37.29621923116483 40.07107333055924 35.72198464009736 1.39999997615814 11193
39.69195647623900 40.39378810532767 35.89207923643337 1.00000000000000 2770
38.72716021478988 42.75507101061271 35.67661050088036 1.39999997615814 13505
38.26406211247009 41.29762483851482 37.50825594641611 1.00000000000000 14672
39.93848811150437 41.33779896706227 39.65802383518562 1.39999997615814 24727
37.87842856645238 41.75121224961359 40.80257238602891 1.00000000000000 19334
39.53776242963892 41.87099181047608 42.12224899381587 1.00000000000000 26512
37.78418018448843 42.82442178488995 42.52814868789130 1.00000000000000 26326
38.08566827101231 41.81535155784997 44.70464527693579 1.39999997615814 11023
37.15254471242483 40.57867086796108 48.31024938269678 1.00000000000000 11498
37.64146679505410 40.14391143080600 46.43785131307777 1.00000000000000 17270
39.54226974425104 40.29667584921657 45.82398738177571 1.00000000000000 18888
38.74547085579981 41.67454725713721 47.14852654004724 1.00000000000000 16764
39.21418661437670 41.10149432473568 49.43428964119641 1.39999997615814 1021
37.75636356497098 41.43666174578601 51.50579494526440 1.00000000000000 14156
37.37422024093428 42.30735220480126 53.70803383844375 1.39999997615814 1895
39.34666785142309 41.39362490161382 52.71453239343668 1.00000000000000 22636
37.36433987645296 42.15527082363232 56.49609527379602 1.39999997615814 27875
39.37430925938629 40.88494299726037 55.03382016413637 1.39999997615814 14219
39.94187512210419 41.68354646152348 57.63945186042157 1.39999997615814 751
39.24901154365041 42.95835500443378 2.40731577458523 1.39999997615814 8439
38.00952401214705 43.34251639436788 0.36294771712204 1.00000000000000 30700
39.17551290541149 44.89795513878208 0.91406140250498 1.00000000000000 2168
37.15243760959498 42.88176379322688 4.25407762801427 1.39999997615814 8689
38.92897612943914 45.02694495401634 4.23624892156083 1.39999997615814 19623
38.47423178512190 44.50612928569490 7.85140296934240 1.39999997615814 17713
37.71648831234592 45.42016016106085 9.95717601526412 1.00000000000000 10704
39.73531278722170 43.89086647080322 9.79085507312223 1.00000000000000 25224
38.45183111770265 43.09117225304769 11.21498985433050 1.00000000000000 29238
39.35277713625064 45.29415732878455 11.68908713015119 1.39999997615814 18825
39.76606243671878 43.17231238879026 12.69081870227623 1.00000000000000 11690
39.77035989432852 45.46929269149018 14.05397121378277 1.00000000000000 15766
