7015 -5 0 791.952
0.0325500 0.9815601 25.5939079 25.5939079 33.1389191
0.0357000 0.9793546 28.0388849 28.0388849 33.1221495
0.0399000 0.9764362 31.2903389 31.2903389 33.1001391
0.0451500 0.9728227 35.3410875 35.3410875 33.0731723
0.0504000 0.9692471 39.3769062 39.3769062 33.0467946
0.0567000 0.9650047 44.2003993 44.2003993 33.0158929
0.0640500 0.9601222 49.8012691 49.8012691 32.9808387
0.0714000 0.9553117 55.3739593 55.3739593 32.9468150
0.0798000 0.9499001 61.7087712 61.7087712 32.9091364
0.0892500 0.9439189 68.7928359 68.7928359 32.8682107
0.1008000 0.9367565 77.3910494 77.3910494 32.8201776
0.1123500 0.9297484 85.9245203 85.9245203 32.7741990
0.1260000 0.9216666 95.9280014 95.9280014 32.7223325
0.1417500 0.9125983 107.3635682 107.3635682 32.6655720
0.1585500 0.9032172 119.4388605 119.4388605 32.6083783
0.1785000 0.8924615 133.6192120 133.6192120 32.5445517
0.2005500 0.8810343 149.0986459 149.0986459 32.4786712
0.2247000 0.8690384 165.8284582 165.8284582 32.4115447
0.2520000 0.8560855 184.4707842 184.4707842 32.3412825
0.2824500 0.8423468 204.9424220 204.9424220 32.2691097
0.3171000 0.8275622 227.8463939 227.8463939 32.1939068
0.3549000 0.8123820 252.3842014 252.3842014 32.1191225
0.3990000 0.7958093 280.4570554 280.4570554 32.0400420
0.4473000 0.7789266 310.5638409 310.5638409 31.9619777
0.5019000 0.7612608 343.8507380 343.8507380 31.8827478
0.5628000 0.7431176 380.1149752 380.1149752 31.8037739
0.6310500 0.7244977 419.7624535 419.7624535 31.7249868
0.7087500 0.7052061 463.7328381 463.7328381 31.6455284
0.7948500 0.6858852 511.1406975 511.1406975 31.5678164
0.8914500 0.6663419 562.8439919 562.8439919 31.4910537
1.0006500 0.6465163 619.5885116 619.5885116 31.4149561
1.1227651 0.6267330 681.1292029 681.1292029 31.3405747
1.2594751 0.6070417 747.8883174 747.8883174 31.2679612
1.4127226 0.5874960 820.3427904 820.3427904 31.1971446
1.5858151 0.5680345 899.5065067 899.5065067 31.1277519
1.7787526 0.5489606 984.8033160 984.8033160 31.0607827
1.9959451 0.5301617 1077.5660339 1077.5660339 30.9956191
2.2393220 0.5118165 1177.9334835 1177.9334835 30.9325954
2.5125215 0.4938861 1286.6775306 1286.6775306 30.8715807
2.8192921 0.4763964 1404.4827708 1404.4827708 30.8125830
3.1631068 0.4594304 1531.8242027 1531.8242027 30.7556975
3.5483644 0.4430418 1669.4291379 1669.4291379 30.7008469
3.9810846 0.4271943 1818.4656054 1818.4656054 30.6478265
4.4672872 0.4119009 1979.9289655 1979.9289655 30.5965874
5.0118948 0.3971822 2154.3213618 2154.3213618 30.5472613
5.6245099 0.3829566 2343.4733747 2343.4733747 30.4995504
6.3098094 0.3693099 2547.5070440 2547.5070440 30.4536263
7.0803644 0.3561777 2768.7584769 2768.7584769 30.4091212
7.9440561 0.3435821 3007.9603996 3007.9603996 30.3660681
8.9125633 0.3314999 3266.7283416 3266.7283416 30.3243372
10.0014481 0.3199392 3547.4692525 3547.4692525 30.2837187
11.2210876 0.3089055 3851.0217968 3851.0217968 30.2442296
12.5894367 0.2983290 4179.8868852 4179.8868852 30.2056818
14.1269504 0.2881641 4536.7856214 4536.7856214 30.1678270
15.8491767 0.2784207 4922.9974808 4922.9974808 30.1305992
17.7840324 0.2690317 5342.2321177 5342.2321177 30.0937861
19.9529062 0.2600227 5796.3835231 5796.3835231 30.0573589
22.3872322 0.2514313 6289.1601837 6289.1601837 30.0210416
25.1199938 0.2431581 6824.1374720 6824.1374720 29.9846151
28.1840786 0.2351735 7404.2503894 7404.2503894 29.9478419
31.6237393 0.2274694 8034.0899038 8034.0899038 29.9105233
35.4826072 0.2200948 8717.6824848 8717.6824848 29.8725502
39.8132470 0.2130033 9460.0284635 9460.0284635 29.8335795
44.6694872 0.2061804 10265.7751139 10265.7751139 29.7934000
50.1205675 0.1995085 11141.1280189 11141.1280189 29.7516554
56.2377471 0.1929731 12091.4251792 12091.4251792 29.7080205
63.0967693 0.1867154 13122.2089299 13122.2089299 29.6625479
70.7954662 0.1807543 14241.9291558 14241.9291558 29.6149625
79.4340106 0.1749416 15458.1926018 15458.1926018 29.5644932
89.1259377 0.1692271 16778.5604597 16778.5604597 29.5106099
100.0026275 0.1637937 18212.0076070 18212.0076070 29.4533131
112.2074471 0.1586664 19769.5219621 19769.5219621 29.3938619
125.8964104 0.1539495 21463.2318025 21463.2318025 29.3314040
141.2559945 0.1494170 23307.4692953 23307.4692953 29.2637245
158.4947918 0.1449687 25316.2343255 25316.2343255 29.1866085
