 1010 -3.75 0.001
0.01 0.994777 8.76901 8.76901
0.02 0.989811 17.4929 17.4929
0.03 0.984669 26.173 26.173
0.05 0.974771 43.3992 43.3992
0.07 0.965243 60.4552 60.4552
0.1 0.951338 85.73 85.73
0.2 0.909297 167.469 167.469
0.3 0.873966 245.825 245.825
0.5 0.814794 394.088 394.088
0.7 0.767352 533.027 533.027
1 0.713908 728.043 728.043
2 0.601722 1300.83 1300.83
3 0.538213 1800.05 1800.05
5 0.466829 2676.3 2676.3
7 0.423579 3457.43 3457.43
10 0.383888 4519.9 4519.9
15 0.34383 6113.32 6113.32
20 0.317259 7560.43 7560.43
30 0.285923 10210.2 10210.2
50 0.255291 14930.2 14930.2
70 0.235382 19218.4 19218.4
100 0.214999 25129.2 25129.2
150 0.194563 34135.5 34135.5
200 0.183454 42475.2 42475.2
300 0.165571 57746.7 57746.7
500 0.145342 85003.7 85003.7
700 0.136144 109643 109643
1000 0.124428 143574 143574
1500 0.113378 195686 195686
2000 0.106973 243897 243897
3000 0.100399 333667 333667
5000 0.0864403 494294 494294
7000 0.0806001 639079 639079
10000 0.0696582 839123 839123
15000 0.0622484 1.13187e+06 1.13187e+06
20000 0.0637915 1.41083e+06 1.41083e+06
30000 0.0625913 1.95174e+06 1.95174e+06
40000 0.0611477 2.492e+06 2.492e+06
50000 0.0591653 3.01267e+06 3.01267e+06
60000 0.0605054 3.52914e+06 3.52914e+06
70000 0.0587455 4.04449e+06 4.04449e+06
80000 0.0567498 4.54629e+06 4.54629e+06
90000 0.0551092 5.04713e+06 5.04713e+06
100000 0.0548311 5.53453e+06 5.53453e+06
150000 0.0513531 7.83636e+06 7.83636e+06
200000 0.0459791 1.00836e+07 1.00836e+07
300000 0.0413719 1.38669e+07 1.38669e+07
