7009 -99 0 888.019
0.0325500 0.9830333 28.7287974 28.7287974 89.8534706
0.0357000 0.9809175 31.4746487 31.4746487 89.8359572
0.0399000 0.9781190 35.1266261 35.1266261 89.8129857
0.0451500 0.9746573 39.6770167 39.6770167 89.7848650
0.0504000 0.9712346 44.2113781 44.2113781 89.7573833
0.0567000 0.9671784 49.6317081 49.6317081 89.7252190
0.0640500 0.9625139 55.9269879 55.9269879 89.6887723
0.0714000 0.9579217 62.1920938 62.1920938 89.6534368
0.0798000 0.9527601 69.3158635 69.3158635 89.6143505
0.0892500 0.9470625 77.2845733 77.2845733 89.5719491
0.1008000 0.9402547 86.9600058 86.9600058 89.5222524
0.1123500 0.9336072 96.5665195 96.5665195 89.4747488
0.1260000 0.9259531 107.8330247 107.8330247 89.4212386
0.1417500 0.9173893 120.7194796 120.7194796 89.3627667
0.1585500 0.9085529 134.3353522 134.3353522 89.3039347
0.1785000 0.8984373 150.3363392 150.3363392 89.2383789
0.2005500 0.8877153 167.8177497 167.8177497 89.1708169
0.2247000 0.8764859 186.7288181 186.7288181 89.1020744
0.2520000 0.8643941 207.8239306 207.8239306 89.0302139
0.2824500 0.8516058 231.0168587 231.0168587 88.9564797
0.3171000 0.8378732 257.0008239 257.0008239 88.8797153
0.3549000 0.8237988 284.8805067 284.8805067 88.8034269
0.3990000 0.8084624 316.8307878 316.8307878 88.7227923
0.4473000 0.7928556 351.1606039 351.1606039 88.6432127
0.5019000 0.7765600 389.1947843 389.1947843 88.5624432
0.5628000 0.7598620 430.7255675 430.7255675 88.4819005
0.6310500 0.7427430 476.2442092 476.2442092 88.4014968
0.7087500 0.7250005 526.8623755 526.8623755 88.3203419
0.7948500 0.7072220 581.5952494 581.5952494 88.2409209
0.8914500 0.6892441 641.4693558 641.4693558 88.1624514
1.0006500 0.6710266 707.3984551 707.3984551 88.0846284
1.1227651 0.6528432 779.1512286 779.1512286 88.0085246
1.2594751 0.6347398 857.2775842 857.2775842 87.9342101
1.4127226 0.6167625 942.3999953 942.3999953 87.8617290
1.5858151 0.5988569 1035.7883093 1035.7883093 87.7906853
1.7787526 0.5812970 1136.8460298 1136.8460298 87.7221036
1.9959451 0.5639951 1247.2470354 1247.2470354 87.6553206
2.2393220 0.5470643 1367.2600094 1367.2600094 87.5906700
2.5125215 0.5305087 1497.9174482 1497.9174482 87.5280533
2.8192921 0.5143644 1640.1787225 1640.1787225 87.4674535
3.1631068 0.4986611 1794.7585533 1794.7585533 87.4089614
3.5483644 0.4834212 1962.6816801 1962.6816801 87.3525505
3.9810846 0.4686304 2145.5229795 2145.5229795 87.2980618
4.4672872 0.4543255 2344.6844589 2344.6844589 87.2454120
5.0118948 0.4405536 2560.9842011 2560.9842011 87.1946675
5.6245099 0.4272410 2796.9317772 2796.9317772 87.1455235
6.3098094 0.4144480 3052.9335332 3052.9335332 87.0982053
7.0803644 0.4021303 3332.1972359 3332.1972359 87.0523630
7.9440561 0.3902668 3635.9476063 3635.9476063 87.0080255
8.9125633 0.3788732 3966.5642493 3966.5642493 86.9650427
10.0014481 0.3679016 4327.4682116 4327.4682116 86.9231908
11.2210876 0.3573487 4720.0609726 4720.0609726 86.8825417
12.5894367 0.3472287 5147.9662372 5147.9662372 86.8429561
14.1269504 0.3375206 5615.2408759 5615.2408759 86.8042470
15.8491767 0.3282338 6124.1415066 6124.1415066 86.7663729
17.7840324 0.3192867 6680.2189548 6680.2189548 86.7291774
19.9529062 0.3107236 7286.6974338 7286.6974338 86.6924948
22.3872322 0.3025015 7949.2821321 7949.2821321 86.6560536
25.1199938 0.2946021 8673.5296707 8673.5296707 86.6195781
28.1840786 0.2870444 9464.5728012 9464.5728012 86.5827839
31.6237393 0.2797564 10329.9243488 10329.9243488 86.5451311
35.4826072 0.2726837 11276.1591602 11276.1591602 86.5064857
39.8132470 0.2658583 12311.3691545 12311.3691545 86.4673751
44.6694872 0.2591662 13443.1037114 13443.1037114 86.4267219
50.1205675 0.2525707 14681.3118554 14681.3118554 86.3838541
56.2377471 0.2461170 16035.4114130 16035.4114130 86.3397598
63.0967693 0.2397946 17514.7451332 17514.7451332 86.2961501
70.7954662 0.2336269 19132.5950543 19132.5950543 86.2508735
79.4340106 0.2275778 20901.0519903 20901.0519903 86.2028970
89.1259377 0.2215590 22833.2587676 22833.2587676 86.1532091
100.0026275 0.2156059 24943.8064936 24943.8064936 86.1017686
112.2074471 0.2098723 27248.6187183 27248.6187183 86.0468097
125.8964104 0.2043005 29765.3000339 29765.3000339 85.9869731
141.2559945 0.1988222 32513.6343950 32513.6343950 85.9206930
158.4947918 0.1937755 35517.0568404 35517.0568404 85.8487405
177.8326602 0.1890019 38803.1894833 38803.1894833 85.7707587
199.5344894 0.1842349 42398.1757082 42398.1757082 85.6870803
223.8731455 0.1794968 46328.9110884 46328.9110884 85.6016203
251.1895596 0.1747328 50622.1496193 50622.1496193 85.5118856
281.8404883 0.1699672 55311.8557603 55311.8557603 85.4073230
316.2378815 0.1658495 60436.8315759 60436.8315759 85.2926389
354.8252370 0.1621300 66055.1059171 66055.1059171 85.1811405
398.1250863 0.1577953 72206.8738906 72206.8738906 85.0492436
446.6934609 0.1537972 78922.1893810 78922.1893810 84.9383392
501.1903976 0.1499224 86269.8988616 86269.8988616 84.8276510
562.3470481 0.1460611 94304.5826237 94304.5826237 84.7083217
630.9576992 0.1424742 103095.1421717 103095.1421717 84.5698023
707.9626349 0.1386766 112710.9874706 112710.9874706 84.3925204
794.3311114 0.1353398 123212.1001221 123212.1001221 84.1710889
891.2901875 0.1320920 134717.8351795 134717.8351795 83.9526582
1000.0152949 0.1283843 147311.3907179 147311.3907179 83.7484470
1122.0453570 0.1243714 161000.6836269 161000.6836269 83.5460646
1258.9519017 0.1202443 175877.7337210 175877.7337210 83.3145522
1412.6025846 0.1134393 191835.4411652 191835.4411652 82.9718321
1584.9192513 0.1090396 208812.2367343 208812.2367343 82.6599673
1778.3297629 0.1061048 227245.9986200 227245.9986200 82.3392043
1995.3396487 0.1027325 247422.1076264 247422.1076264 81.8882667
2238.7495208 0.0966043 268811.2867657 268811.2867657 81.4408658
2511.9332487 0.0894371 291308.3526236 291308.3526236 81.0738302
2818.4067961 0.0863063 315231.5507950 315231.5507950 80.7652461
3162.3160538 0.0856738 341483.9462452 341483.9462452 80.3120808
3548.2246552 0.0750866 369224.3436065 369224.3436065 79.7871238
3981.0824729 0.0663151 396288.3365493 396288.3365493 79.2990383
4466.8445267 0.0599409 423787.1374544 423787.1374544 78.8267728
5011.9508737 0.0575752 452068.5275088 452068.5275088 78.4842486
5623.4686414 0.0552101 483155.2564287 483155.2564287 78.1547627
6309.6060499 0.0537056 516036.2473143 516036.2473143 77.8414097
