04356395361702 44.50019928637515 1.00000000000000 7984
34.98303489767994 72.57218770890427 47.30834134784612 1.39999997615814 10699
36.80977849422888 73.19465592214226 48.68210059263534 1.00000000000000 16858
35.10317240690296 72.17024685634701 50.07862449525462 1.39999997615814 16119
36.42258816643783 72.18824017441193 53.14828627811019 1.39999997615814 12115
34.76310086198896 74.23859051320929 51.94052889626037 1.39999997615814 16279
35.72305028191215 72.70522969254949 56.85616239691655 1.39999997615814 8381
36.79537820753546 71.65546046609472 59.80652814832503 1.39999997615814 4845
35.14057973421464 73.93830735196144 59.26201652365242 1.39999997615814 23709
37.04092929752093 74.36340750646906 2.47054783398696 1.00000000000000 26196
35.94544211503720 75.29731506162966 1.05303021690542 1.00000000000000 9920
35.27677665725508 75.48288269149924 4.81087890133844 1.00000000000000 17722
36.86338710294247 75.95014359831376 3.64754276586575 1.00000000000000 14216
37.01734855267757 74.60420869795712 5.22523542117854 1.00000000000000 10422
35.18333667343228 76.73895914565435 6.84266982027640 1.39999997615814 11319
36.44295380217017 75.68238240531093 8.61689500971738 1.00000000000000 7032
34.98142394902331 74.46528852603097 9.31756001128549 1.00000000000000 15354
36.52639952735063 74.99514583383365 11.22884787458813 1.39999997615814 30233
34.74028753572031 76.74706017769029 9.97062477617436 1.39999997615814 27767
37.10365262795517 77.07479840565270 10.09933953615052 1.00000000000000 3882
34.68773201176768 76.13934881702886 12.97337529623579 1.39999997615814 363
36.00685446373704 74.30842188884566 14.58040743111985 1.39999997615814 30501
34.32585357659497 76.99992527915435 15.30422857462743 1.00000000000000 9792
36.22740421254953 76.50103898343093 15.56451735636949 1.00000000000000 11426
36.09878044220862 74.88783948359398 19.73833493960308 1.39999997615814 129
37.01555140227211 76.74726999464960 17.82251460000930 1.39999997615814 9243
34.64431421369925 76.91517727169509 20.93896225309098 1.39999997615814 1483
36.83277758476760 75.98557269773693 22.42694471925957 1.39999997615814 693
34.31817302448565 74.84973045151617 22.81431937726497 1.39999997615814 8657
35.81927299429643 76.34099820503755 24.69401969520347 1.00000000000000 29316
34.63245897323031 75.67996683442806 26.65413694734821 1.39999997615814 29071
37.10818649227637 76.99869013394436 26.61050005229077 1.39999997615814 8623
35.76516384406654 76.67060232998881 28.54991326547999 1.00000000000000 27102
35.36645150772017 74.77169495131074 29.00177164394873 1.00000000000000 20420
