1004 0
0 9.47 0.12909
1 6.4481 0.179347
2 10.3823 0.229587
3 29.2672 0.279803
4 17.673 0.329988
5 14.9391 0.380133
6 19.9479 0.430231
7 17.1641 0.480273
8 25.7167 0.530252
9 37.105 0.580159
10 38.0361 0.629987
11 36.5619 0.679728
12 42.8367 0.729375
13 35.4637 0.778918
14 43.9593 0.828351
15 44.5378 0.877666
16 47.5333 0.926854
17 51.1797 0.975909
18 46.1472 1.02482
19 47.5504 1.07359
20 53.5075 1.12219
21 58.1956 1.17063
22 55.63 1.2189
23 51.2683 1.26699
24 58.2825 1.31489
25 62.4126 1.3626
26 62.7123 1.4101
27 58.9297 1.4574
28 63.318 1.50447
29 71.8129 1.55132
30 69.3134 1.59794
31 66.7912 1.64432
32 63.9198 1.69045
33 64.476 1.73633
34 76.5532 1.78194
35 75.4158 1.82729
36 79.2563 1.87236
37 78.1338 1.91714
38 74.6197 1.96164
39 76.0943 2.00584
40 68.8131 2.04973
41 65.2958 2.09332
42 71.4325 2.13658
43 72.4715 2.17952
44 89.6202 2.22213
45 75.8132 2.2644
46 83.0702 2.30633
47 89.8164 2.3479
48 88.9716 2.38911
49 95.8833 2.42996
50 87.1978 2.47044
51 86.4067 2.51054
52 88.644 2.55026
53 97.0143 2.58959
54 96.0236 2.62852
55 88.8842 2.66705
56 91.792 2.70517
57 83.5174 2.74287
58 94.1427 2.78015
59 100.04 2.81701
60 105.767 2.85344
61 94.951 2.88942
62 92.1034 2.92497
63 102.042 2.96006
64 98.174 2.9947
65 98.1303 3.02887
66 90.3794 3.06259
67 98.2442 3.09583
68 94.5908 3.12859
69 105.413 3.16087
70 104.432 3.19267
71 102.251 3.22398
72 103.826 3.25478
73 97.7504 3.28509
74 93.7792 3.31489
75 102.35 3.34418
76 102.282 3.37295
77 95.2566 3.4012
78 109.576 3.42893
79 111.993 3.45613
80 106.036 3.4828
81 101.699 3.50893
82 104.118 3.53451
83 102.781 3.55955
84 96.6905 3.58405
85 98.7253 3.60798
86 103.914 3.63137
