7014 -3.4 0 804.705
0.0325500 0.9748333 25.8257058 25.8257058 33.4952034
0.0357000 0.9726607 28.2930590 28.2930590 33.4783840
0.0399000 0.9697854 31.5743391 31.5743391 33.4563076
0.0451500 0.9662234 35.6623503 35.6623503 33.4292595
0.0504000 0.9626996 39.7354093 39.7354093 33.4028016
0.0567000 0.9585205 44.6035687 44.6035687 33.3718050
0.0640500 0.9537119 50.2565304 50.2565304 33.3366410
0.0714000 0.9489719 55.8812833 55.8812833 33.3025085
0.0798000 0.9436396 62.2755526 62.2755526 33.2647064
0.0892500 0.9377455 69.4264563 69.4264563 33.2236430
0.1008000 0.9306855 78.1062696 78.1062696 33.1754431
0.1123500 0.9237851 86.7212729 86.7212729 33.1292989
0.1260000 0.9158253 96.8210635 96.8210635 33.0772366
0.1417500 0.9068965 108.3676935 108.3676935 33.0202483
0.1585500 0.8976563 120.5613763 120.5613763 32.9628096
0.1785000 0.8870503 134.8820869 134.8820869 32.8986936
0.2005500 0.8757717 150.5161867 150.5161867 32.8325009
0.2247000 0.8639199 167.4146154 167.4146154 32.7650472
0.2520000 0.8511162 186.2464149 186.2464149 32.6944361
0.2824500 0.8375422 206.9280196 206.9280196 32.6218938
0.3171000 0.8229359 230.0694377 230.0694377 32.5462922
0.3549000 0.8079396 254.8646116 254.8646116 32.4711003
0.3990000 0.7915584 283.2353939 283.2353939 32.3915805
0.4473000 0.7748607 313.6656009 313.6656009 32.3130704
0.5019000 0.7573720 347.3138677 347.3138677 32.2333824
0.5628000 0.7394061 383.9759981 383.9759981 32.1539416
0.6310500 0.7209645 424.0630651 424.0630651 32.0746866
0.7087500 0.7018695 468.5270273 468.5270273 31.9947467
0.7948500 0.6827081 516.4730669 516.4730669 31.9165549
0.8914500 0.6633149 568.7677741 568.7677741 31.8393464
1.0006500 0.6436604 626.1676617 626.1676617 31.7628419
1.1227651 0.6240579 688.4278594 688.4278594 31.6880865
1.2594751 0.6045424 755.9777891 755.9777891 31.6151314
