6012 -3.42 0 999.115
0.0325500 0.9517587 31.4854382 31.4854382 300.2877126
0.0357000 0.9488859 34.4751449 34.4751449 300.4814435
0.0399000 0.9462133 38.4501492 38.4501492 300.7521650
0.0451500 0.9416280 43.3984382 43.3984382 301.0648283
0.0504000 0.9388119 48.3275968 48.3275968 301.4026552
0.0567000 0.9333889 54.2156913 54.2156913 301.7625278
0.0640500 0.9283255 61.0486176 61.0486176 302.1453682
0.0714000 0.9237254 67.8459712 67.8459712 302.5238904
0.0798000 0.9156690 75.5619920 75.5619920 302.9092360
0.0892500 0.9083562 84.1696132 84.1696132 303.3378913
0.1008000 0.9006085 94.6016463 94.6016463 303.8339562
0.1123500 0.8943509 104.9544612 104.9544612 304.2689407
0.1260000 0.8869456 117.0992555 117.0992555 304.7256154
0.1417500 0.8786486 130.9894268 130.9894268 305.2360237
0.1585500 0.8725842 145.6870832 145.6870832 305.7804220
0.1785000 0.8614094 162.9603593 162.9603593 306.2663187
0.2005500 0.8503371 181.8185066 181.8185066 306.7942736
0.2247000 0.8382529 202.1779246 202.1779246 307.3030321
0.2520000 0.8263854 224.8795891 224.8795891 307.7863349
0.2824500 0.8146189 249.8312951 249.8312951 308.2709374
0.3171000 0.8007420 277.7779827 277.7779827 308.6520213
0.3549000 0.7875974 307.7476007 307.7476007 309.0684338
0.3990000 0.7719360 342.0724452 342.0724452 309.5356528
0.4473000 0.7583874 378.9431904 378.9431904 309.9257691
0.5019000 0.7442667 419.9097986 419.9097986 310.2531744
0.5628000 0.7266992 464.6463426 464.6463426 310.6358730
0.6310500 0.7126922 513.6606015 513.6606015 310.9390730
0.7087500 0.6969856 568.3583194 568.3583194 311.0938646
0.7948500 0.6827950 627.6878187 627.6878187 311.4518204
0.8914500 0.6671325 692.8512371 692.8512371 311.6097491
1.0006500 0.6555333 764.9997257 764.9997257 311.9689785
1.1227651 0.6362557 843.7067127 843.7067127 312.1627491
1.2594751 0.6231146 929.6345651 929.6345651 312.3878658
1.4127226 0.6053145 1023.5337613 1023.5337613 312.6258659
1.5858151 0.5904287 1127.1420719 1127.1420719 312.5918948
1.7787526 0.5704804 1238.9608383 1238.9608383 312.8925237
1.9959451 0.5546866 1361.1362863 1361.1362863 312.9645312
2.2393220 0.5418910 1494.5222159 1494.5222159 313.0227553
2.5125215 0.5226966 1640.0012379 1640.0012379 313.0748440
2.8192921 0.5105963 1798.4969039 1798.4969039 313.1486082
3.1631068 0.4997482 1972.0288436 1972.0288436 313.2993287
3.5483644 0.4836301 2161.4322980 2161.4322980 313.3295010
3.9810846 0.4713324 2368.7420045 2368.7420045 313.5250693
4.4672872 0.4616019 2595.1637583 2595.1637583 313.5077445
5.0118948 0.4468357 2842.5218521 2842.5218521 313.6369839
5.6245099 0.4346946 3111.4377468 3111.4377468 313.6994307
6.3098094 0.4260936 3405.7780581 3405.7780581 313.6878024
7.0803644 0.4136100 3727.8753669 3727.8753669 313.7640768
7.9440561 0.4073242 4081.1144810 4081.1144810 313.6651042
8.9125633 0.3922196 4468.7053442 4468.7053442 313.8536952
10.0014481 0.3906136 4891.2119879 4891.2119879 313.7773656
11.2210876 0.3760012 5355.1979876 5355.1979876 313.8949073
12.5894367 0.3617678 5858.7031062 5858.7031062 313.9078279
14.1269504 0.3577907 6410.8534631 6410.8534631 313.8282964
15.8491767 0.3467042 7014.2247655 7014.2247655 313.7782549
17.7840324 0.3402175 7686.7296102 7686.7296102 313.9699708
19.9529062 0.3314064 8416.8454580 8416.8454580 313.8897289
22.3872322 0.3296403 9220.8457247 9220.8457247 313.7296015
25.1199938 0.3183130 10100.7629946 10100.7629946 313.7693040
28.1840786 0.3087202 11063.1653259 11063.1653259 313.7228560
31.6237393 0.3129833 12140.9297609 12140.9297609 313.8094604
35.4826072 0.3010383 13304.7501493 13304.7501493 313.7870133
39.8132470 0.2919003 14591.3810494 14591.3810494 313.8747662
44.6694872 0.2901346 15990.1698635 15990.1698635 313.5164364
50.1205675 0.2832110 17553.4252190 17553.4252190 313.6008975
56.2377471 0.2766414 19285.1734796 19285.1734796 313.7465496
63.0967693 0.2697931 21122.4795260 21122.4795260 313.5881182
70.7954662 0.2553346 23154.5473380 23154.5473380 313.6702414
79.4340106 0.2450763 25344.6781100 25344.6781100 313.4751012
89.1259377 0.2495791 27750.1137564 27750.1137564 313.5713258
100.0026275 0.2447306 30410.3192365 30410.3192365 313.5341474
112.2074471 0.2420660 33402.9501404 33402.9501404 313.4596463
125.8964104 0.2353438 36662.6843865 36662.6843865 313.1781648
141.2559945 0.2317393 40289.5553379 40289.5553379 313.0116783
158.4947918 0.2249870 44217.4694865 44217.4694865 313.0735600
177.8326602 0.2208312 48538.4090454 48538.4090454 312.8643044
199.5344894 0.2142546 53272.6940263 53272.6940263 312.8132640
