7013 -5 0 806.135
0.0325500 0.9676750 25.6814360 25.6814360 33.5275607
0.0357000 0.9655179 28.1350220 28.1350220 33.5107667
0.0399000 0.9626625 31.3979909 31.3979909 33.4887213
0.0451500 0.9591246 35.4631822 35.4631822 33.4617077
0.0504000 0.9556220 39.5134898 39.5134898 33.4352794
0.0567000 0.9514657 44.3544238 44.3544238 33.4043119
0.0640500 0.9466826 49.9757151 49.9757151 33.3691744
0.0714000 0.9419665 55.5688948 55.5688948 33.3350608
0.0798000 0.9366570 61.9271791 61.9271791 33.2972713
0.0892500 0.9307837 69.0376827 69.0376827 33.2562137
0.1008000 0.9237495 77.6682266 77.6682266 33.2080094
0.1123500 0.9168709 86.2340740 86.2340740 33.1618495
0.1260000 0.9089296 96.2758444 96.2758444 33.1097565
0.1417500 0.9000201 107.7555667 107.7555667 33.0527218
0.1585500 0.8908012 119.8779465 119.8779465 32.9952239
0.1785000 0.8802177 134.1140616 134.1140616 32.9310275
0.2005500 0.8689668 149.6547250 149.6547250 32.8647383
0.2247000 0.8571581 166.4511222 166.4511222 32.7971680
0.2520000 0.8444041 185.1681472 185.1681472 32.7264133
0.2824500 0.8308813 205.7224194 205.7224194 32.6536989
0.3171000 0.8163238 228.7196308 228.7196308 32.5778934
0.3549000 0.8013662 253.3580043 253.3580043 32.5024745
0.3990000 0.7850291 281.5463228 281.5463228 32.4226939
0.4473000 0.7683597 311.7769420 311.7769420 32.3439068
0.5019000 0.7508910 345.1993470 345.1993470 32.2639291
0.5628000 0.7329369 381.6088308 381.6088308 32.1842079
0.6310500 0.7144952 421.4112815 421.4112815 32.1046840
0.7087500 0.6953717 465.5482425 465.5482425 32.0245028
0.7948500 0.6761693 513.1270306 513.1270306 31.9461194
0.8914500 0.6567436 565.0041095 565.0041095 31.8687651
1.0006500 0.6370516 621.9259228 621.9259228 31.7921513
1.1227651 0.6174285 683.6449022 683.6449022 31.7173682
1.2594751 0.5979179 750.5841099 750.5841099 31.6444733
1.4127226 0.5785401 823.2199444 823.2199444 31.5735180
1.5858151 0.5592320 902.5624658 902.5624658 31.5041550
1.7787526 0.5403401 988.0318512 988.0318512 31.4374024
1.9959451 0.5217321 1080.9640256 1080.9640256 31.3725700
2.2393220 0.5035414 1181.4911202 1181.4911202 31.3100084
2.5125215 0.4857482 1290.3755813 1290.3755813 31.2496733
2.8192921 0.4683960 1408.2968950 1408.2968950 31.1916006
3.1631068 0.4515642 1535.7196605 1535.7196605 31.1358421
3.5483644 0.4353469 1673.3732278 1673.3732278 31.0823341
3.9810846 0.4196173 1822.4167641 1822.4167641 31.0309007
4.4672872 0.4044077 1983.8169570 1983.8169570 30.9815362
5.0118948 0.3898010 2158.0673168 2158.0673168 30.9342871
5.6245099 0.3757208 2346.9957563 2346.9957563 30.8888277
6.3098094 0.3623028 2550.7479669 2550.7479669 30.8452703
7.0803644 0.3494028 2771.6841574 2771.6841574 30.8031995
7.9440561 0.3369328 3010.4986745 3010.4986745 30.7626032
8.9125633 0.3250143 3268.7767409 3268.7767409 30.7234578
10.0014481 0.3135904 3548.9270122 3548.9270122 30.6854701
11.2210876 0.3027359 3851.7796185 3851.7796185 30.6486354
12.5894367 0.2923885 4179.8500760 4179.8500760 30.6125914
