6005 -4 0 872.026
0.0325500 0.9908605 28.5087699 28.5087699 87.7306072
0.0357000 0.9887073 31.2268298 31.2268298 87.7684279
0.0399000 0.9847700 34.8389511 34.8389511 87.8104933
0.0451500 0.9805741 39.3359946 39.3359946 87.8666398
0.0504000 0.9761572 43.8131056 43.8131056 87.9183720
0.0567000 0.9709870 49.1594849 49.1594849 87.9681398
0.0640500 0.9652326 55.3615346 55.3615346 88.0320013
0.0714000 0.9597713 61.5276614 61.5276614 88.0911075
0.0798000 0.9535551 68.5327190 68.5327190 88.1493835
0.0892500 0.9469764 76.3614086 76.3614086 88.2226334
0.1008000 0.9391435 85.8566050 85.8566050 88.3087469
0.1123500 0.9318053 95.2768785 95.2768785 88.3953150
0.1260000 0.9234146 106.3168994 106.3168994 88.4634590
0.1417500 0.9135537 118.9278971 118.9278971 88.5500749
0.1585500 0.9037291 132.2372518 132.2372518 88.6287207
0.1785000 0.8916227 147.8481833 147.8481833 88.7087776
0.2005500 0.8804700 164.8816022 164.8816022 88.7791246
0.2247000 0.8691729 183.2980675 183.2980675 88.8453536
0.2520000 0.8568213 203.8336599 203.8336599 88.9064880
0.2824500 0.8428524 226.3890458 226.3890458 88.9714595
0.3171000 0.8267057 251.6024803 251.6024803 89.0194623
0.3549000 0.8107999 278.5846562 278.5846562 89.0547537
0.3990000 0.7938037 309.4206103 309.4206103 89.0919399
0.4473000 0.7747651 342.4540544 342.4540544 89.1300532
0.5019000 0.7582946 378.9315864 378.9315864 89.1714843
0.5628000 0.7425720 418.7771911 418.7771911 89.1992814
0.6310500 0.7245206 462.4327435 462.4327435 89.2172565
0.7087500 0.7037355 510.7581545 510.7581545 89.2494794
0.7948500 0.6853092 562.9013478 562.9013478 89.2403971
0.8914500 0.6678946 619.9027280 619.9027280 89.2579859
1.0006500 0.6485961 682.5375059 682.5375059 89.2676700
1.1227651 0.6299318 750.4928210 750.4928210 89.2312946
1.2594751 0.6112847 824.4475311 824.4475311 89.2336582
1.4127226 0.5949775 905.0973787 905.0973787 89.2300947
1.5858151 0.5779872 993.5265898 993.5265898 89.2081711
1.7787526 0.5635347 1089.5036664 1089.5036664 89.2339158
1.9959451 0.5440929 1194.3469757 1194.3469757 89.2110620
2.2393220 0.5287594 1307.9730183 1307.9730183 89.1928584
2.5125215 0.5119213 1431.9384206 1431.9384206 89.1469278
2.8192921 0.4964273 1567.1057518 1567.1057518 89.1546420
3.1631068 0.4840232 1713.7515583 1713.7515583 89.1776193
3.5483644 0.4684794 1873.3057276 1873.3057276 89.1464460
3.9810846 0.4513295 2046.6637907 2046.6637907 89.1582343
4.4672872 0.4369936 2235.0929506 2235.0929506 89.1140660
5.0118948 0.4234068 2439.1402292 2439.1402292 89.0923116
5.6245099 0.4125451 2661.4274137 2661.4274137 89.1037520
6.3098094 0.4015074 2904.2921555 2904.2921555 89.0915310
7.0803644 0.3904497 3170.2471683 3170.2471683 89.0949068
7.9440561 0.3828350 3461.3836283 3461.3836283 89.0835366
8.9125633 0.3685890 3776.6855930 3776.6855930 89.0360448
10.0014481 0.3575466 4120.9579907 4120.9579907 88.9900533
11.2210876 0.3477598 4494.7983014 4494.7983014 88.9772121
12.5894367 0.3371573 4903.8370849 4903.8370849 88.9374451
14.1269504 0.3279095 5348.5720285 5348.5720285 88.9326670
15.8491767 0.3222169 5834.3250966 5834.3250966 88.9003329
17.7840324 0.3118942 6369.0520264 6369.0520264 88.9389595
19.9529062 0.3039765 6949.7937377 6949.7937377 88.8605870
22.3872322 0.2954848 7589.7946172 7589.7946172 88.8753700
25.1199938 0.2871364 8288.6320800 8288.6320800 88.8509941
28.1840786 0.2801493 9052.4448857 9052.4448857 88.7996824
31.6237393 0.2729508 9883.8782344 9883.8782344 88.7730765
35.4826072 0.2630174 10793.0869373 10793.0869373 88.7542640
39.8132470 0.2617031 11781.6314986 11781.6314986 88.7481711
44.6694872 0.2468467 12869.2550067 12869.2550067 88.7277070
50.1205675 0.2510347 14062.0352203 14062.0352203 88.6357064
56.2377471 0.2499636 15373.5747662 15373.5747662 88.6218570
63.0967693 0.2357847 16820.3428903 16820.3428903 88.5972838
70.7954662 0.2337894 18399.4202130 18399.4202130 88.5691908
79.4340106 0.2272407 20124.5233527 20124.5233527 88.4890125
89.1259377 0.2256207 22028.3557760 22028.3557760 88.4246118
100.0026275 0.2197372 24111.1976824 24111.1976824 88.3815647
112.2074471 0.2106676 26393.1384702 26393.1384702 88.3292310
125.8964104 0.2065067 28869.6538621 28869.6538621 88.3239273
141.2559945 0.1970106 31573.2790667 31573.2790667 88.2127769
158.4947918 0.1947069 34480.7767854 34480.7767854 88.1705462
177.8326602 0.1883847 37652.3136357 37652.3136357 88.1111146
199.5344894 0.1786666 41095.7373728 41095.7373728 87.9906755
223.8731455 0.1706475 44885.0862147 44885.0862147 87.9154582
251.1895596 0.1654490 48944.7993268 48944.7993268 87.8236339
281.8404883 0.1603463 53334.1233301 53334.1233301 87.6774698
316.2378815 0.1597929 58157.4424743 58157.4424743 87.6202220
354.8252370 0.1505796 63425.4856964 63425.4856964 87.5039424
398.1250863 0.1495006 69098.6837515 69098.6837515 87.3146751
446.6934609 0.1397354 75268.2562518 75268.2562518 87.2082647
501.1903976 0.1367513 81921.9086258 81921.9086258 86.9710065
562.3470481 0.1301573 89133.2672769 89133.2672769 86.7837451
630.9576992 0.1259795 96900.8932662 96900.8932662 86.6495513
707.9626349 0.1251640 105257.4568600 105257.4568600 86.4258265
794.3311114 0.1122524 114195.4775777 114195.4775777 86.1928014
891.2901875 0.1089909 123488.5477906 123488.5477906 85.9096873
1000.0152949 0.1046429 133444.3493942 133444.3493942 85.5823168
1122.0453570 0.0967230 144064.8896319 144064.8896319 85.1443999
1258.9519017 0.1021841 155767.1342045 155767.1342045 84.8210370
1412.6025846 0.0963481 168879.2609577 168879.2609577 84.4340930
1584.9192513 0.0939999 183585.8124863 183585.8124863 83.8748646
1778.3297629 0.0914386 199328.9454679 199328.9454679 83.3293277
1995.3396487 0.0833923 216201.8939355 216201.8939355 82.8291921
2238.7495208 0.0822121 234301.6255254 234301.6255254 82.3603364
2511.9332487 0.0792591 253992.2303877 253992.2303877 81.8420593
2818.4067961 0.0809617 276004.1245553 276004.1245553 81.2935647
3162.3160538 0.0778809 300592.0149825 300592.0149825 80.5663592
3548.2246552 0.0801286 326865.4683920 326865.4683920 80.1136717
3981.0824729 0.0778938 354907.2890168 354907.2890168 79.2853097
4466.8445267 0.0735193 384663.0047026 384663.0047026 78.6203368
5011.9508737 0.0693759 417378.1179947 417378.1179947 77.7692707
5623.4686414 0.0733126 453410.1349238 453410.1349238 77.1078713
6309.6060499 0.0632916 492127.6495364 492127.6495364 76.4885432
7079.5178905 0.0669421 536933.1946722 536933.1946722 75.8742002
7943.3360745 0.0680283 584077.8411770 584077.8411770 75.1525498
8912.5538779 0.0602487 634290.1634869 634290.1634869 74.6402674
10000.0576380 0.0568264 691809.1448666 691809.1448666 74.1936798
11220.2837932 0.0595804 755650.1472365 755650.1472365 73.7461767
12589.2832138 0.0605655 826025.0349107 826025.0349107 73.0097059
14125.4898594 0.0495344 901393.8463751 901393.8463751 72.5982981
15849.0266991 0.0515758 979567.8076845 979567.8076845 72.0482406
17782.8284773 0.0470129 1059679.2670990 1059679.2670990 71.6356674
19952.6405589 0.0515385 1147043.3720585 1147043.3720585 71.1669209
22387.3110130 0.0379131 1237092.6735882 1237092.6735882 70.8365466
25118.9399788 0.0294939 1323431.4346447 1323431.4346447 70.4925205
28183.8378200 0.0308658 1409187.0128256 1409187.0128256 69.9807321
31622.8492882 0.0322428 1500706.9370164 1500706.9370164 69.5395111
35481.3448326 0.0292590 1611472.1126538 1611472.1126538 69.0197905
39810.8123001 0.0387228 1743115.3881409 1743115.3881409 68.4638883
44668.4408210 0.0434738 1914576.8705017 1914576.8705017 67.9996147
50118.8218320 0.0472252 2108204.6108391 2108204.6108391 67.4822313
56234.1823694 0.0371990 2331370.4590067 2331370.4590067 67.2444603
63095.8439737 0.0344011 2561205.8683216 2561205.8683216 66.7394322
70794.7386130 0.0339186 2790038.8363613 2790038.8363613 66.5720960
79432.9897122 0.0317021 3036031.0671048 3036031.0671048 66.3310938
89125.2011949 0.0390996 3325797.4128440 3325797.4128440 65.9567247
100000.1496297 0.0415433 3718361.7747843 3718361.7747843 65.8390044
112201.9339986 0.0382511 4143051.7838104 4143051.7838104 66.0210341
125892.6936390 0.0422491 4628053.4386133 4628053.4386133 66.1788319
141253.8311154 0.0446452 5178592.9115230 5178592.9115230 66.3893687
158489.5061793 0.0438637 5862702.1942551 5862702.1942551 66.7286246
177827.9574712 0.0451520 6631439.4282806 6631439.4282806 67.1030396
