6008 -4 0 887.168
0.0325500 0.9757517 28.5491243 28.5491243 90.9229344
0.0357000 0.9732265 31.2713103 31.2713103 90.9565763
0.0399000 0.9700628 34.8902134 34.8902134 91.0052472
0.0451500 0.9660157 39.3966428 39.3966428 91.0550502
0.0504000 0.9617605 43.8840219 43.8840219 91.0990251
0.0567000 0.9574028 49.2452040 49.2452040 91.1601625
0.0640500 0.9520172 55.4682683 55.4682683 91.2269427
0.0714000 0.9467675 61.6567499 61.6567499 91.2835629
0.0798000 0.9409936 68.6871487 68.6871487 91.3537283
0.0892500 0.9344293 76.5465283 76.5465283 91.4290207
0.1008000 0.9266147 86.0774195 86.0774195 91.5034490
0.1123500 0.9184823 95.5266454 95.5266454 91.5692538
0.1260000 0.9098513 106.5900304 106.5900304 91.6386118
0.1417500 0.9010180 119.2381475 119.2381475 91.7126789
0.1585500 0.8912490 132.5922112 132.5922112 91.7992258
0.1785000 0.8794312 148.2554887 148.2554887 91.8731698
0.2005500 0.8685596 165.3479477 165.3479477 91.9475482
0.2247000 0.8563897 183.8142544 183.8142544 92.0078465
0.2520000 0.8418938 204.3787830 204.3787830 92.0540157
0.2824500 0.8278091 226.9192274 226.9192274 92.1198890
0.3171000 0.8124216 252.1093485 252.1093485 92.1837014
0.3549000 0.7963660 279.0654007 279.0654007 92.2343016
0.3990000 0.7821480 309.9378216 309.9378216 92.2772898
0.4473000 0.7638506 343.0531393 343.0531393 92.3315186
0.5019000 0.7479800 379.6631166 379.6631166 92.3559955
0.5628000 0.7305791 419.6110555 419.6110555 92.3885784
0.6310500 0.7129712 463.2950662 463.2950662 92.3979228
0.7087500 0.6953198 511.8244340 511.8244340 92.4448481
0.7948500 0.6759917 564.1816628 564.1816628 92.4512382
0.8914500 0.6586650 621.2992513 621.2992513 92.4656938
1.0006500 0.6405046 684.2179176 684.2179176 92.4732897
1.1227651 0.6244771 752.7518596 752.7518596 92.4540472
1.2594751 0.6053724 827.2484731 827.2484731 92.4365310
1.4127226 0.5858032 908.3029535 908.3029535 92.4181539
1.5858151 0.5711080 997.0238163 997.0238163 92.4123818
1.7787526 0.5513651 1092.9203497 1092.9203497 92.4032933
1.9959451 0.5334181 1197.5024557 1197.5024557 92.3625884
2.2393220 0.5171934 1310.7762014 1310.7762014 92.3645937
2.5125215 0.4974947 1433.7556763 1433.7556763 92.3463176
2.8192921 0.4865342 1568.0348255 1568.0348255 92.3427096
3.1631068 0.4715920 1714.3069795 1714.3069795 92.3457968
3.5483644 0.4580946 1873.2943621 1873.2943621 92.3135078
3.9810846 0.4425514 2046.4243513 2046.4243513 92.3193072
4.4672872 0.4285301 2233.9375152 2233.9375152 92.2795865
5.0118948 0.4156566 2437.2428864 2437.2428864 92.2797505
5.6245099 0.4011620 2658.7562085 2658.7562085 92.2134416
6.3098094 0.3888211 2899.6903662 2899.6903662 92.2204905
7.0803644 0.3803285 3161.5442417 3161.5442417 92.1866591
7.9440561 0.3683789 3447.7518137 3447.7518137 92.1874333
8.9125633 0.3595445 3761.8483135 3761.8483135 92.1777135
10.0014481 0.3486550 4104.1086199 4104.1086199 92.1608348
11.2210876 0.3324132 4471.4206122 4471.4206122 92.1214175
12.5894367 0.3269091 4870.9169685 4870.9169685 92.0795181
14.1269504 0.3164739 5309.8164659 5309.8164659 92.0748796
15.8491767 0.3054745 5785.4198919 5785.4198919 92.0433569
17.7840324 0.3012844 6310.2675115 6310.2675115 92.0087945
19.9529062 0.2905524 6880.6309597 6880.6309597 91.9763214
22.3872322 0.2827058 7498.5821207 7498.5821207 91.9848814
25.1199938 0.2751646 8178.1786383 8178.1786383 91.9678071
28.1840786 0.2687457 8918.4060017 8918.4060017 91.9592713
31.6237393 0.2601920 9729.6418481 9729.6418481 91.9144468
35.4826072 0.2555131 10616.5411460 10616.5411460 91.8867150
39.8132470 0.2452748 11576.2646823 11576.2646823 91.8086080
44.6694872 0.2398147 12629.6498769 12629.6498769 91.8328214
50.1205675 0.2318738 13772.8306564 13772.8306564 91.7886938
56.2377471 0.2288536 15038.3882205 15038.3882205 91.7240986
63.0967693 0.2209125 16404.4843516 16404.4843516 91.6346744
70.7954662 0.2130325 17894.2834432 17894.2834432 91.6238559
79.4340106 0.2084230 19515.4971647 19515.4971647 91.5220679
89.1259377 0.2060825 21307.0003351 21307.0003351 91.4888834
100.0026275 0.2023031 23267.8298303 23267.8298303 91.4276876
112.2074471 0.1934649 25418.0594573 25418.0594573 91.3715392
125.8964104 0.1921446 27793.3804492 27793.3804492 91.3225423
141.2559945 0.1843285 30350.4254404 30350.4254404 91.2497610
158.4947918 0.1817579 33141.0909536 33141.0909536 91.1696523
177.8326602 0.1731561 36218.2741576 36218.2741576 91.1129751
199.5344894 0.1718741 39563.2438127 39563.2438127 91.0017070
223.8731455 0.1675171 43239.9729482 43239.9729482 90.9451146
251.1895596 0.1621580 47253.8801001 47253.8801001 90.8179711
281.8404883 0.1588698 51667.6201112 51667.6201112 90.7498390
316.2378815 0.1569672 56430.7154051 56430.7154051 90.6384245
354.8252370 0.1509350 61653.2109262 61653.2109262 90.4837300
398.1250863 0.1469759 67338.7731906 67338.7731906 90.3614681
446.6934609 0.1410410 73554.2914693 73554.2914693 90.2130960
501.1903976 0.1362615 80233.4027645 80233.4027645 90.0190449
562.3470481 0.1325579 87414.2033135 87414.2033135 89.8180191
630.9576992 0.1276104 94994.5039475 94994.5039475 89.6258669
707.9626349 0.1178290 103290.8133214 103290.8133214 89.4229948
794.3311114 0.1171790 112444.9454741 112444.9454741 89.1857701
891.2901875 0.1106222 122254.7739541 122254.7739541 88.9562000
1000.0152949 0.1086728 133032.8684145 133032.8684145 88.7338953
1122.0453570 0.1067438 144746.9194366 144746.9194366 88.4304138
1258.9519017 0.1010228 157565.6400600 157565.6400600 88.0854850
1412.6025846 0.1031726 171542.1834597 171542.1834597 87.7368814
1584.9192513 0.1015404 186978.3485746 186978.3485746 87.3921388
1778.3297629 0.0936759 203819.3256851 203819.3256851 87.0897535
1995.3396487 0.0923810 222105.3222593 222105.3222593 86.8197493
2238.7495208 0.0839096 242153.4467152 242153.4467152 86.5074386
2511.9332487 0.0864707 262939.3622139 262939.3622139 86.1319599
2818.4067961 0.0761897 283786.6687427 283786.6687427 85.5137356
3162.3160538 0.0770007 306249.9984321 306249.9984321 85.1990017
3548.2246552 0.0670422 330465.4261250 330465.4261250 84.8458814
3981.0824729 0.0706733 357579.3567467 357579.3567467 84.4037922
4466.8445267 0.0725948 388503.8152238 388503.8152238 83.8562755
5011.9508737 0.0599161 419940.8577330 419940.8577330 83.2012851
5623.4686414 0.0650640 454099.0773841 454099.0773841 82.4536955
6309.6060499 0.0642528 493624.4074437 493624.4074437 81.6470803
7079.5178905 0.0546557 535840.4476075 535840.4476075 80.7958878
7943.3360745 0.0539570 576476.2830061 576476.2830061 80.2050300
8912.5538779 0.0418297 617308.1722598 617308.1722598 79.6262251
10000.0576380 0.0394628 661394.7414967 661394.7414967 79.0789995
11220.2837932 0.0361151 704613.1459147 704613.1459147 78.4180964
12589.2832138 0.0393669 749860.4803427 749860.4803427 77.2024748
14125.4898594 0.0395293 803658.7923045 803658.7923045 76.4196559
15849.0266991 0.0480660 870246.7625683 870246.7625683 75.6611942
17782.8284773 0.0389579 944278.9822671 944278.9822671 75.0184581
19952.6405589 0.0452932 1024396.8808676 1024396.8808676 74.4937062
22387.3110130 0.0396604 1115766.5862691 1115766.5862691 73.6882063
25118.9399788 0.0459146 1217409.2959446 1217409.2959446 72.8819133
28183.8378200 0.0407929 1333783.2880494 1333783.2880494 72.1191431
31622.8492882 0.0375332 1465763.9828624 1465763.9828624 71.6250372
35481.3448326 0.0378768 1596063.0902667 1596063.0902667 70.9316238
39810.8123001 0.0437398 1745446.5231844 1745446.5231844 70.2459810
44668.4408210 0.0437901 1905534.6269963 1905534.6269963 69.6118882
50118.8218320 0.0414714 2090581.6963646 2090581.6963646 68.9515924
56234.1823694 0.0437872 2302144.8189587 2302144.8189587 68.3959041
63095.8439737 0.0216398 2534941.6666436 2534941.6666436 68.0175025
70794.7386130 0.0336674 2759953.0374289 2759953.0374289 67.8426344
79432.9897122 0.0310757 3025705.4545753 3025705.4545753 67.8970050
89125.2011949 0.0269481 3306110.1238612 3306110.1238612 67.5572388
