6012 -4 0 909.062
0.0325500 0.9506988 28.5249153 28.5249153 88.8695509
0.0357000 0.9484609 31.2427380 31.2427380 88.9076984
0.0399000 0.9452387 34.8560741 34.8560741 88.9511913
0.0451500 0.9410958 39.3555982 39.3555982 89.0046053
0.0504000 0.9367277 43.8344617 43.8344617 89.0489006
0.0567000 0.9320331 49.1833332 49.1833332 89.1001190
0.0640500 0.9267557 55.3907111 55.3907111 89.1610924
0.0714000 0.9216316 61.5636971 61.5636971 89.2241324
0.0798000 0.9152279 68.5738279 68.5738279 89.2868983
0.0892500 0.9078975 76.4015672 76.4015672 89.3478340
0.1008000 0.9005036 85.8898918 85.8898918 89.4319479
0.1123500 0.8933481 95.3021124 95.3021124 89.5092048
0.1260000 0.8860478 106.3386118 106.3386118 89.5947477
0.1417500 0.8774313 118.9624630 118.9624630 89.6807603
0.1585500 0.8681891 132.2883538 132.2883538 89.7578702
0.1785000 0.8588531 147.9485628 147.9485628 89.8457534
0.2005500 0.8476649 165.0473647 165.0473647 89.9155256
0.2247000 0.8365448 183.5260839 183.5260839 89.9812581
0.2520000 0.8247787 204.1352586 204.1352586 90.0574648
0.2824500 0.8111899 226.7801115 226.7801115 90.1339190
0.3171000 0.7966179 252.0943739 252.0943739 90.1945078
0.3549000 0.7812471 279.1966553 279.1966553 90.2498921
0.3990000 0.7665280 310.2194091 310.2194091 90.2970633
0.4473000 0.7502524 343.4911389 343.4911389 90.3373006
0.5019000 0.7343800 380.3069097 380.3069097 90.3716529
0.5628000 0.7176121 420.4894530 420.4894530 90.3956795
0.6310500 0.7030737 464.5422694 464.5422694 90.4235407
0.7087500 0.6840177 513.5195068 513.5195068 90.4465733
0.7948500 0.6675248 566.3468644 566.3468644 90.4491323
0.8914500 0.6496856 624.1862960 624.1862960 90.4373059
1.0006500 0.6310173 687.6741003 687.6741003 90.4310863
1.1227651 0.6122421 756.6516017 756.6516017 90.4148331
1.2594751 0.5983712 831.7143639 831.7143639 90.4441735
1.4127226 0.5809231 913.8793521 913.8793521 90.4131289
1.5858151 0.5629013 1003.8445640 1003.8445640 90.3993065
1.7787526 0.5427543 1100.8143085 1100.8143085 90.3784724
1.9959451 0.5292677 1206.5741954 1206.5741954 90.3743480
2.2393220 0.5132879 1322.0501835 1322.0501835 90.3972968
2.5125215 0.4957494 1447.3668764 1447.3668764 90.3434194
