7007 -3.8 0 788.044
0.0325500 0.9833156 25.5120082 25.5120082 31.3676275
0.0357000 0.9811160 27.9492883 27.9492883 31.3508415
0.0399000 0.9782049 31.1905437 31.1905437 31.3288078
0.0451500 0.9745997 35.2286427 35.2286427 31.3018093
0.0504000 0.9710316 39.2519183 39.2519183 31.2753962
0.0567000 0.9667983 44.0604974 44.0604974 31.2444498
0.0640500 0.9619243 49.6441499 49.6441499 31.2093393
0.0714000 0.9571184 55.1997957 55.1997957 31.1752592
0.0798000 0.9517118 61.5153279 61.5153279 31.1375169
0.0892500 0.9457349 68.5779483 68.5779483 31.0965172
0.1008000 0.9385778 77.1502869 77.1502869 31.0483881
0.1123500 0.9315785 85.6582753 85.6582753 31.0023160
0.1260000 0.9235026 95.6321191 95.6321191 30.9503428
0.1417500 0.9144391 107.0340759 107.0340759 30.8934627
0.1585500 0.9050646 119.0742137 119.0742137 30.8361537
0.1785000 0.8943001 133.2135861 133.2135861 30.7721951
0.2005500 0.8828473 148.6483780 148.6483780 30.7061826
0.2247000 0.8708124 165.3297555 165.3297555 30.6389369
0.2520000 0.8578158 183.9177750 183.9177750 30.5686068
0.2824500 0.8440258 204.3292720 204.3292720 30.4964102
0.3171000 0.8291659 227.1650536 227.1650536 30.4212465
0.3549000 0.8139034 251.6283106 251.6283106 30.3466098
0.3990000 0.7972397 279.6138511 279.6138511 30.2678714
0.4473000 0.7802526 309.6245693 309.6245693 30.1903933
0.5019000 0.7624513 342.8012785 342.8012785 30.1120154
0.5628000 0.7441513 378.9398941 378.9398941 30.0342116
0.6310500 0.7253693 418.4429189 418.4429189 29.9569933
0.7087500 0.7058660 462.2433802 462.2433802 29.8795709
0.7948500 0.6862920 509.4532604 509.4532604 29.8043944
0.8914500 0.6665001 560.9226490 560.9226490 29.7308423
1.0006500 0.6464531 617.3909097 617.3909097 29.6587594
1.1227651 0.6264625 678.6113279 678.6113279 29.5892812
1.2594751 0.6065793 745.0012847 745.0012847 29.5225771
1.4127226 0.5868147 817.0290903 817.0290903 29.4587857
1.5858151 0.5670557 895.6896898 895.6896898 29.3977597
1.7787526 0.5476501 980.3907613 980.3907613 29.3405660
1.9959451 0.5285439 1072.4447066 1072.4447066 29.2869533
2.2393220 0.5098966 1171.9769894 1171.9769894 29.2375488
2.5125215 0.4916750 1279.7385019 1279.7385019 29.1924822
2.8192921 0.4738944 1396.3894902 1396.3894902 29.1518287
3.1631068 0.4566932 1522.3934358 1522.3934358 29.1160592
3.5483644 0.4401530 1658.4612168 1658.4612168 29.0852577
3.9810846 0.4240814 1805.7442330 1805.7442330 29.0590750
4.4672872 0.4086059 1965.1717512 1965.1717512 29.0376793
5.0118948 0.3935542 2137.2281485 2137.2281485 29.0218422
5.6245099 0.3789917 2323.6149051 2323.6149051 29.0115878
6.3098094 0.3650228 2524.4101667 2524.4101667 29.0070631
7.0803644 0.3515521 2741.8638607 2741.8638607 29.0070879
7.9440561 0.3387421 2976.6724483 2976.6724483 29.0104992
8.9125633 0.3266461 3230.3995734 3230.3995734 29.0164058
10.0014481 0.3150202 3505.6615665 3505.6615665 29.0250551
11.2210876 0.3030741 3802.5889037 3802.5889037 29.0379802
12.5894367 0.2913258 4122.8466353 4122.8466353 29.0516676
14.1269504 0.2803607 4469.0063411 4469.0063411 29.0646850
15.8491767 0.2703541 4842.4202542 4842.4202542 29.0796544
17.7840324 0.2611449 5247.4884088 5247.4884088 29.0937123
19.9529062 0.2513441 5685.3669726 5685.3669726 29.1076636
22.3872322 0.2420292 6158.4132393 6158.4132393 29.1130223
25.1199938 0.2323875 6668.5413415 6668.5413415 29.1135345
28.1840786 0.2238577 7219.0202857 7219.0202857 29.1105699
31.6237393 0.2169970 7815.5684860 7815.5684860 29.1070270
35.4826072 0.2103063 8464.5011011 8464.5011011 29.1048977
39.8132470 0.2026866 9168.8460698 9168.8460698 29.0878389
44.6694872 0.1965224 9931.6279394 9931.6279394 29.0677023
50.1205675 0.1892975 10761.0277460 10761.0277460 29.0422689
56.2377471 0.1829365 11658.3374336 11658.3374336 29.0206285
63.0967693 0.1772954 12628.6746450 12628.6746450 28.9759584
70.7954662 0.1710748 13685.4128649 13685.4128649 28.9350881
79.4340106 0.1663964 14834.9912487 14834.9912487 28.8918063
89.1259377 0.1603988 16081.6235497 16081.6235497 28.8259949
100.0026275 0.1520607 17426.6017856 17426.6017856 28.7827446
112.2074471 0.1439249 18847.6622930 18847.6622930 28.7186644
125.8964104 0.1381249 20373.2822830 20373.2822830 28.6407565
141.2559945 0.1344715 22028.0340103 22028.0340103 28.5476545
158.4947918 0.1309704 23829.9624456 23829.9624456 28.4540446
177.8326602 0.1240470 25758.6289124 25758.6289124 28.3665311
199.5344894 0.1196168 27862.9271721 27862.9271721 28.2460479
223.8731455 0.1184658 30151.1237946 30151.1237946 28.1238006
251.1895596 0.1134288 32663.1058790 32663.1058790 28.0147520
281.8404883 0.1081871 35339.4224654 35339.4224654 27.8726814
316.2378815 0.1047479 38186.3638933 38186.3638933 27.7073575
354.8252370 0.0997363 41291.9393548 41291.9393548 27.5474875
398.1250863 0.0932956 44614.9248575 44614.9248575 27.3642716
446.6934609 0.0884612 48137.3838256 48137.3838256 27.1649326
501.1903976 0.0848842 51955.6703477 51955.6703477 26.9281492
562.3470481 0.0847981 56003.9691420 56003.9691420 26.6796770
630.9576992 0.0816141 60400.7410974 60400.7410974 26.4506564
