6000 -3.52 0 1021.5
0.0325500 0.9369705 31.5672999 31.5672999 303.9412405
0.0357000 0.9341104 34.5756093 34.5756093 304.0933681
0.0399000 0.9315877 38.5761875 38.5761875 304.3015927
0.0451500 0.9277922 43.5608676 43.5608676 304.5489681
0.0504000 0.9239473 48.5249000 48.5249000 304.7808981
0.0567000 0.9180986 54.4482668 54.4482668 305.0482616
0.0640500 0.9123425 61.3171016 61.3171016 305.3389367
0.0714000 0.9075975 68.1458953 68.1458953 305.6235195
0.0798000 0.9022933 75.9075234 75.9075234 305.9324948
0.0892500 0.8966164 84.5877528 84.5877528 306.2573949
0.1008000 0.8889520 95.1161301 95.1161301 306.6267928
0.1123500 0.8826822 105.5629157 105.5629157 306.9979560
0.1260000 0.8756303 117.8162016 117.8162016 307.3797405
0.1417500 0.8672583 131.8267448 131.8267448 307.7715936
0.1585500 0.8571114 146.6089809 146.6089809 308.1275315
0.1785000 0.8478576 163.9850375 163.9850375 308.5109501
0.2005500 0.8363150 182.9401946 182.9401946 308.8854671
0.2247000 0.8261436 203.4377700 203.4377700 309.2416322
0.2520000 0.8145542 226.3091178 226.3091178 309.5984480
0.2824500 0.8019410 251.4326068 251.4326068 310.0044242
0.3171000 0.7892800 279.5905016 279.5905016 310.4081842
0.3549000 0.7760950 309.8160095 309.8160095 310.7508531
0.3990000 0.7617567 344.4190415 344.4190415 311.0434821
0.4473000 0.7442913 381.5651441 381.5651441 311.2931518
0.5019000 0.7320948 422.7505647 422.7505647 311.5043400
0.5628000 0.7179367 467.8342064 467.8342064 311.8134085
0.6310500 0.7052625 517.3891532 517.3891532 312.0348739
0.7087500 0.6880839 572.7052991 572.7052991 312.2586623
0.7948500 0.6748226 632.5478274 632.5478274 312.4636013
0.8914500 0.6594385 698.3797584 698.3797584 312.6653949
1.0006500 0.6423414 771.0569886 771.0569886 312.8191096
1.1227651 0.6252764 850.0631478 850.0631478 312.9283083
1.2594751 0.6082388 936.1919739 936.1919739 313.0930406
1.4127226 0.5943284 1030.4667996 1030.4667996 313.2156835
1.5858151 0.5827933 1134.2621034 1134.2621034 313.2469348
1.7787526 0.5607923 1246.8266812 1246.8266812 313.2889655
1.9959451 0.5412326 1368.8741008 1368.8741008 313.3544427
2.2393220 0.5266495 1501.8432269 1501.8432269 313.5697488
2.5125215 0.5163650 1647.7616999 1647.7616999 313.6842975
2.8192921 0.4997003 1806.9004728 1806.9004728 313.5938138
3.1631068 0.4892967 1980.5772201 1980.5772201 313.6365550
3.5483644 0.4737953 2170.3214826 2170.3214826 313.7288866
3.9810846 0.4626243 2377.0438874 2377.0438874 313.8051341
4.4672872 0.4489765 2603.6449113 2603.6449113 313.8096378
5.0118948 0.4428838 2851.3572972 2851.3572972 313.6886496
5.6245099 0.4252259 3122.3445702 3122.3445702 313.9160377
6.3098094 0.4246291 3419.4408561 3419.4408561 313.9115739
7.0803644 0.4088731 3748.1109124 3748.1109124 313.9786334
7.9440561 0.4003097 4106.4870115 4106.4870115 313.9999142
8.9125633 0.3881503 4497.6356031 4497.6356031 313.9429228
10.0014481 0.3790081 4921.3454060 4921.3454060 314.0170859
11.2210876 0.3684556 5389.1985874 5389.1985874 313.9923748
12.5894367 0.3592656 5899.3959933 5899.3959933 314.0303606
14.1269504 0.3490155 6454.5464388 6454.5464388 314.0075442
15.8491767 0.3473803 7067.2857426 7067.2857426 313.8586934
17.7840324 0.3451447 7751.5575743 7751.5575743 313.9224363
19.9529062 0.3315240 8498.5863804 8498.5863804 313.8999244
22.3872322 0.3284047 9314.5014102 9314.5014102 313.9125508
25.1199938 0.3195331 10214.5830559 10214.5830559 313.9647786
28.1840786 0.3084986 11199.2339237 11199.2339237 313.8969297
31.6237393 0.3040102 12283.7238809 12283.7238809 313.8848393
35.4826072 0.2907808 13459.2934053 13459.2934053 313.7450688
39.8132470 0.2861211 14745.7871848 14745.7871848 313.9504300
44.6694872 0.2804928 16160.8673832 16160.8673832 313.6556216
50.1205675 0.2822714 17717.9146004 17717.9146004 313.5430928
56.2377471 0.2719962 19468.2975156 19468.2975156 313.5684742
63.0967693 0.2752114 21382.9070911 21382.9070911 313.4897147
70.7954662 0.2635334 23492.1468229 23492.1468229 313.5291668
79.4340106 0.2518459 25802.2268697 25802.2268697 313.2759135
89.1259377 0.2546619 28323.7263475 28323.7263475 313.2227083
100.0026275 0.2500705 31116.4254236 31116.4254236 313.2458504
112.2074471 0.2525274 34201.3160835 34201.3160835 312.9311390
125.8964104 0.2438292 37613.5188845 37613.5188845 312.9444259
