6009 -4 0 796.099
891.2901875 0.0669378 77985.3182747 77985.3182747 29.0758676
1000.0152949 0.0690137 83992.4713855 83992.4713855 28.9232131
1122.0453570 0.0588349 90341.7921651 90341.7921651 28.6551936
1258.9519017 0.0659480 97382.0274817 97382.0274817 28.3612367
1412.6025846 0.0647445 104903.1056825 104903.1056825 28.0745845
1584.9192513 0.0633823 113217.9797247 113217.9797247 27.8614467
1778.3297629 0.0529132 121998.8964884 121998.8964884 27.6522702
1995.3396487 0.0456299 131658.3187420 131658.3187420 27.4203930
2238.7495208 0.0462836 141764.1842151 141764.1842151 27.0747594
2511.9332487 0.0547970 153130.6601829 153130.6601829 26.7729774
2818.4067961 0.0529574 165811.4729991 165811.4729991 26.4189517
3162.3160538 0.0461749 178735.3431632 178735.3431632 26.0675408
3548.2246552 0.0365205 191598.8946115 191598.8946115 25.5960718
3981.0824729 0.0329004 204092.7863847 204092.7863847 25.1231726
4466.8445267 0.0327333 217586.0357410 217586.0357410 24.6941438
5011.9508737 0.0247685 230423.6809212 230423.6809212 24.2763606
5623.4686414 0.0260031 241367.9132135 241367.9132135 23.8385322
6309.6060499 0.0168206 252808.6977523 252808.6977523 23.3150922
7079.5178905 0.0153877 264967.5153432 264967.5153432 22.9949536
7943.3360745 0.0216621 278751.2563909 278751.2563909 22.6240964
8912.5538779 0.0193889 293488.1275320 293488.1275320 22.3886967
10000.0576380 0.0133953 306359.4879563 306359.4879563 21.9339451
11220.2837932 0.0127281 321186.4437414 321186.4437414 21.6599992
12589.2832138 0.0101878 335049.8023935 335049.8023935 21.2056003
14125.4898594 0.0073300 349734.2728301 349734.2560872 20.7026701
15849.0266991 0.0111746 360856.0515760 360849.4199539 20.3067080
17782.8284773 0.0062718 369204.3001181 369105.9785277 19.8740987
19952.6405589 0.0028591 374530.7376388 373853.0572925 19.4113881
22387.3110130 0.0003027 378999.4070636 377166.7757765 19.0342604
25118.9399788 -0.0030845 383922.9390955 380884.6765769 18.6447102
28183.8378200 0.0048578 387440.8470979 381724.5810476 18.1719416
31622.8492882 0.0015472 398110.9687944 391735.6248097 17.8815042
35481.3448326 0.0004864 404230.3152567 395773.1894586 17.3279027
39810.8123001 0.0009084 408159.0803085 394893.5998413 16.9523029
44668.4408210 0.0048789 417219.7972762 401507.7526510 16.4805304
50118.8218320 -0.0020983 429607.3465777 411996.8194740 16.0846314
56234.1823694 0.0060470 452886.0996549 434777.0344696 15.7905568
63095.8439737 0.0074002 482880.5235831 464497.2787018 15.3479053
70794.7386130 0.0086968 515967.4788506 497224.7183792 15.1627865
79432.9897122 0.0032796 534326.7408672 512310.1844732 14.9722557
89125.2011949 0.0003362 541970.6365931 507790.8779659 14.8668801
100000.1496297 -0.0042169 548048.6884924 496486.8613192 14.7040611
112201.9339986 -0.0074928 549898.9859271 455718.7991041 14.7510196
125892.6936390 0.0015354 556998.1751767 427324.7175440 14.6902812
141253.8311154 -0.0065913 570411.5918967 422075.8202608 14.5744623
158489.5061793 0.0004407 589837.9648836 425706.1840730 14.5530247
