1017 0
0 0.217599 0.137275
1 10.1043 0.187532
2 13.7097 0.237772
3 29.108 0.287988
4 26.2458 0.338173
5 27.9642 0.388318
6 35.5464 0.438416
7 36.9745 0.488458
8 39.6987 0.538436
9 44.1877 0.588344
10 51.9904 0.638172
11 61.5501 0.687913
12 65.1706 0.737559
13 64.9282 0.787103
14 72.6238 0.836536
15 74.1794 0.88585
16 82.1827 0.935039
17 84.0137 0.984093
18 91.508 1.03301
19 86.5557 1.08177
20 87.3281 1.13038
21 84.9217 1.17882
22 92.6848 1.22709
23 94.6571 1.27518
24 102.146 1.32308
25 111.172 1.37078
26 107.52 1.41829
27 115.924 1.46558
28 115.799 1.51266
29 112.591 1.55951
30 121.176 1.60612
31 130.313 1.6525
32 133.373 1.69863
33 138.317 1.74451
34 137.963 1.79012
35 137.69 1.83547
36 127.101 1.88054
37 134.369 1.92533
38 138.176 1.96982
39 134.868 2.01402
40 141.977 2.05792
41 144.308 2.1015
42 148.142 2.14476
43 150.099 2.1877
44 153.338 2.23031
45 157.306 2.27258
46 151.664 2.31451
47 155.925 2.35608
48 151.422 2.39729
49 156.732 2.43814
50 162.292 2.47862
51 163.227 2.51872
52 165.075 2.55844
53 162.584 2.59777
54 165.442 2.6367
55 165.231 2.67523
56 172.751 2.71334
57 171.092 2.75105
58 172.523 2.78833
59 177.439 2.82519
60 170.517 2.86161
61 173.068 2.8976
62 175.693 2.93314
63 183.873 2.96823
64 180.739 3.00287
65 181.509 3.03705
66 178.877 3.07076
67 182.23 3.104
68 184.745 3.13677
69 181.43 3.16905
70 183.49 3.20084
71 184.803 3.23215
72 193.108 3.26296
73 182.136 3.29326
74 187.783 3.32306
75 185.053 3.35235
76 183.645 3.38112
77 184.231 3.40938
78 185.679 3.4371
79 184.852 3.4643
80 182.849 3.49097
81 185.507 3.5171
82 184.677 3.54268
83 179.924 3.56772
84 187.943 3.59222
85 186.824 3.61615
86 184.625 3.63953
87 188.451 3.66235
88 193.669 3.68461
89 192.064 3.7063
90 184.33 3.72741
91 186.483 3.74795
92 189.707 3.76791
93 196.588 3.78729
94 191.199 3.80609
95 195.049 3.8243
96 192.638 3.84192
97 189.776 3.85895
98 192.853 3.87538
99 193.164 3.89121
100 183.46 3.90644
101 190.975 3.92107
102 193.333 3.93509
103 190.611 3.94851
104 193.96 3.96131
105 189.472 3.97351
106 193.849 3.98509
107 196.053 3.99605
108 198.254 4.0064
109 198.834 4.01613
110 193.127 4.02523
111 191.878 4.03372
112 185.007 4.04158
113 184.227 4.04882
114 178.306 4.05543
115 189.166 4.06142
116 182.678 4.06678
117 187.696 4.07151
118 189.5 4.07561
119 185.817 4.07908
120 180.234 4.08192
121 181.202 4.08413
122 184.008 4.08571
123 182.93 4.08665
124 183.691 4.08697
125 177.421 4.08665
126 177.35 4.08571
127 175.517 4.08413
