7004 -3.4 0 884.642
0.0325500 0.9599254 28.1239174 28.1239174 91.3544568
0.0357000 0.9567531 30.7933715 30.7933715 91.5392639
0.0399000 0.9520331 34.3369174 34.3369174 91.7787390
0.0451500 0.9460807 38.7421253 38.7421253 92.0749903
0.0504000 0.9413200 43.1217629 43.1217629 92.3643714
0.0567000 0.9353398 48.3484777 48.3484777 92.6838700
0.0640500 0.9294087 54.4082980 54.4082980 93.0290936
0.0714000 0.9227662 60.4257449 60.4257449 93.3840979
0.0798000 0.9156637 67.2533402 67.2533402 93.7629641
0.0892500 0.9082107 74.8761565 74.8761565 94.1507168
0.1008000 0.8969507 84.0931718 84.0931718 94.6347540
0.1123500 0.8884533 93.2091761 93.2091761 95.0746420
0.1260000 0.8794478 103.8758031 103.8758031 95.5737905
0.1417500 0.8710515 116.0756172 116.0756172 96.0294154
0.1585500 0.8607161 128.9381732 128.9381732 96.5105798
0.1785000 0.8474062 144.0135281 144.0135281 97.0291875
0.2005500 0.8325605 160.3770818 160.3770818 97.5101368
0.2247000 0.8201230 178.0157207 178.0157207 97.9444185
0.2520000 0.8064772 197.6390337 197.6390337 98.4562945
0.2824500 0.7914553 219.1598197 219.1598197 98.8981186
0.3171000 0.7763062 243.1791762 243.1791762 99.3570649
0.3549000 0.7578816 268.8245677 268.8245677 99.7782516
0.3990000 0.7406759 298.0423610 298.0423610 100.1996662
0.4473000 0.7237928 329.3124042 329.3124042 100.6490431
0.5019000 0.7053915 363.8222747 363.8222747 100.9874306
0.5628000 0.6875400 401.2690026 401.2690026 101.3861833
0.6310500 0.6666848 442.0607486 442.0607486 101.7128653
0.7087500 0.6506554 487.2716910 487.2716910 102.0816287
0.7948500 0.6360011 536.3020527 536.3020527 102.3498651
0.8914500 0.6173612 589.8453828 589.8453828 102.7185706
1.0006500 0.5948441 648.6091146 648.6091146 102.8406026
1.1227651 0.5810737 712.0362688 712.0362688 103.0570715
1.2594751 0.5617832 781.2502686 781.2502686 103.3064188
1.4127226 0.5439884 856.1527547 856.1527547 103.5265382
1.5858151 0.5314830 938.6971068 938.6971068 103.8444836
1.7787526 0.5115346 1027.8938973 1027.8938973 103.7966911
1.9959451 0.4974237 1124.8293148 1124.8293148 104.0796932
2.2393220 0.4840254 1230.7732192 1230.7732192 104.1970665
2.5125215 0.4678020 1345.6562673 1345.6562673 104.3037010
2.8192921 0.4433242 1469.2619544 1469.2619544 104.4445527
3.1631068 0.4275826 1600.8626805 1600.8626805 104.6754208
3.5483644 0.4183413 1745.0314926 1745.0314926 104.8407665
3.9810846 0.3951823 1900.3655099 1900.3655099 104.9821482
4.4672872 0.3840444 2067.8076127 2067.8076127 104.9698258
5.0118948 0.3754318 2251.5658288 2251.5658288 105.1477922
5.6245099 0.3684796 2452.3836293 2452.3836293 105.1163124
6.3098094 0.3578205 2673.5299672 2673.5299672 105.1073530
7.0803644 0.3550798 2915.2052805 2915.2052805 105.1364594
7.9440561 0.3371473 3178.6280451 3178.6280451 105.2932703
8.9125633 0.3203018 3461.4904083 3461.4904083 105.2726538
10.0014481 0.3080958 3761.1187762 3761.1187762 105.3186985
11.2210876 0.3086217 4092.9111082 4092.9111082 105.4097313
12.5894367 0.2987884 4459.9871450 4459.9871450 105.5000889
14.1269504 0.2834865 4854.6859777 4854.6859777 105.7134034
15.8491767 0.2692977 5273.8162782 5273.8162782 105.8020666
17.7840324 0.2683329 5735.4259123 5735.4259123 105.7323502
19.9529062 0.2596316 6242.6099998 6242.6099998 105.7735929
22.3872322 0.2491648 6784.1946207 6784.1946207 105.8665840
25.1199938 0.2425271 7375.1466400 7375.1466400 105.8144791
28.1840786 0.2349345 8025.9526457 8025.9526457 105.7055269
31.6237393 0.2297896 8739.8858638 8739.8858638 106.0203950
35.4826072 0.2218590 9512.5830268 9512.5830268 105.8465713
39.8132470 0.2136661 10358.1152726 10358.1152726 105.8979687
44.6694872 0.2155558 11283.8579577 11283.8579577 106.0163666
50.1205675 0.2077595 12297.4438433 12297.4438433 105.9771901
56.2377471 0.1995398 13405.6160736 13405.6160736 105.9565685
63.0967693 0.1907882 14617.6345779 14617.6345779 105.9017272
70.7954662 0.1980216 15929.2153064 15929.2153064 105.7858001
79.4340106 0.1884044 17375.3321158 17375.3321158 105.9694625
89.1259377 0.1802923 18954.5112681 18954.5112681 105.6383873
100.0026275 0.1666528 20660.1530342 20660.1530342 105.6574087
112.2074471 0.1715748 22556.9438077 22556.9438077 105.5300407
125.8964104 0.1758534 24668.9974921 24668.9974921 105.5723132
141.2559945 0.1605017 26951.5460738 26951.5460738 105.2797246
158.4947918 0.1581087 29404.6166452 29404.6166452 105.2919368
177.8326602 0.1507063 32060.4983282 32060.4983282 105.3549410
199.5344894 0.1613641 35055.9178327 35055.9178327 105.2031306
223.8731455 0.1428643 38166.3518186 38166.3518186 105.0318788
251.1895596 0.1357951 41587.3203864 41587.3203864 104.9494154
281.8404883 0.1277293 45160.7275658 45160.7275658 104.6493265
316.2378815 0.1401862 49123.9638446 49123.9638446 104.5183230
354.8252370 0.1224356 53336.2509144 53336.2509144 104.3598510
398.1250863 0.1106794 57982.2592446 57982.2592446 104.3020636
446.6934609 0.1134265 62989.8657117 62989.8657117 103.8954755
501.1903976 0.1048596 68245.1986847 68245.1986847 103.5726539
562.3470481 0.1014844 73781.9096130 73781.9096130 103.4511099
630.9576992 0.0989975 79710.8397163 79710.8397163 103.1113886
707.9626349 0.1033772 86411.1614025 86411.1614025 102.6385789
794.3311114 0.0824348 93274.7541855 93274.7541855 102.4676977
891.2901875 0.0826323 100460.6950279 100460.6950279 101.9683028
1000.0152949 0.0681046 108063.2780137 108063.2780137 101.7634175
1122.0453570 0.0881273 116395.2458466 116395.2458466 101.1992325
1258.9519017 0.0806040 126111.9521297 126111.9521297 100.4801406
1412.6025846 0.0764515 136416.6981640 136416.6981640 100.3033517
1584.9192513 0.0593347 146391.0928780 146391.0928780 99.6188046
1778.3297629 0.0631654 156771.9328409 156771.9328409 99.3595294
1995.3396487 0.0498591 167349.9075190 167349.9075190 98.9566109
2238.7495208 0.0423565 178046.1285130 178046.1285130 98.5047425
2511.9332487 0.0394778 189366.4946000 189366.4946000 97.8007611
2818.4067961 0.0494488 201638.1332417 201638.1332417 97.1833503
3162.3160538 0.0292713 213820.4781280 213820.4781280 96.6261761
3548.2246552 0.0281809 225251.8113064 225251.8113064 95.7365592
3981.0824729 0.0316013 236992.6267957 236992.6267957 95.3821602
4466.8445267 0.0320457 249484.9569144 249484.9569144 94.6007873
5011.9508737 0.0090284 260313.1849659 260312.3938096 93.6824236
5623.4686414 0.0205334 269695.1216935 269693.3232763 92.9357614
6309.6060499 0.0095798 280889.1067242 280886.9559107 91.5381520
7079.5178905 0.0235775 296727.0099512 296724.8591378 90.7966304
7943.3360745 0.0233119 314456.4064060 314454.2555926 89.7406042
8912.5538779 0.0246052 335473.1227063 335470.9718929 89.0717640
10000.0576380 0.0374340 362696.4674743 362694.3166609 87.9340540
11220.2837932 0.0265826 399611.1703727 399609.0195593 86.9935112
12589.2832138 0.0301572 440159.8934468 440157.7426333 86.0684076
14125.4898594 0.0175185 479278.5959003 479276.4450868 85.6009921
15849.0266991 0.0304466 524935.5974613 524933.4466478 84.8641440
17782.8284773 0.0295463 573969.2277476 573967.0769342 84.5604813
19952.6405589 0.0143521 626514.2717629 626512.1209495 84.0900678
22387.3110130 0.0279441 684884.3810978 684882.2302844 83.3001898
25118.9399788 0.0249199 740543.6313883 740541.3373010 82.6468841
28183.8378200 0.0225511 790813.5848637 790803.1940941 82.3431303
31622.8492882 0.0078340 832501.9267334 832423.5092610 82.0149839
35481.3448326 0.0234387 871561.2221263 871271.2658067 81.7058049
39810.8123001 0.0150354 925152.6384747 924801.2879197 81.1587424
44668.4408210 0.0233989 1000161.7767560 999799.2818964 80.5197529
50118.8218320 0.0226324 1102641.3903553 1102276.9608666 80.0141510
56234.1823694 0.0169984 1221062.3101327 1220696.9448546 79.6739514
63095.8439737 0.0268387 1327536.4088135 1327164.2871859 79.3385562
70794.7386130 0.0302600 1469854.0232714 1469470.6789470 79.1512549
79432.9897122 0.0240697 1650317.4812830 1649934.1043772 79.1452756
89125.2011949 0.0256724 1868532.7489175 1868149.3618933 79.2401266
100000.1496297 0.0197570 2127856.3909266 2127473.0039024 79.3528657
112201.9339986 0.0304231 2383708.8341558 2383324.3257970 79.4514487
