7008 -3.4 0 790.423
0.0325500 0.9800374 25.5037631 25.5037631 31.2836957
0.0357000 0.9778433 27.9402468 27.9402468 31.2669513
0.0399000 0.9749390 31.1804347 31.1804347 31.2449737
0.0451500 0.9713430 35.2171919 35.2171919 31.2180468
0.0504000 0.9677835 39.2391174 39.2391174 31.1917057
0.0567000 0.9635623 44.0460706 44.0460706 31.1608507
0.0640500 0.9587043 49.6278275 49.6278275 31.1258529
0.0714000 0.9539168 55.1815962 55.1815962 31.0918885
0.0798000 0.9485263 61.4949964 61.4949964 31.0542784
0.0892500 0.9425647 68.5552051 68.5552051 31.0134292
0.1008000 0.9354208 77.1245431 77.1245431 30.9654870
0.1123500 0.9284363 85.6294599 85.6294599 30.9196045
0.1260000 0.9203768 95.5995991 95.5995991 30.8678665
0.1417500 0.9113364 106.9972125 106.9972125 30.8112815
0.1585500 0.9019870 119.0326596 119.0326596 30.7543064
0.1785000 0.8912666 133.1665204 133.1665204 30.6907750
0.2005500 0.8798712 148.5955604 148.5955604 30.6252527
0.2247000 0.8678960 165.2710854 165.2710854 30.5585737
0.2520000 0.8549631 183.8529813 183.8529813 30.4889015
0.2824500 0.8412426 204.2583064 204.2583064 30.4174945
0.3171000 0.8264709 227.0880119 227.0880119 30.3432957
0.3549000 0.8112962 251.5459877 251.5459877 30.2697753
0.3990000 0.7947446 279.5270520 279.5270520 30.1923910
0.4473000 0.7778647 309.5352389 309.5352389 30.1164540
0.5019000 0.7601868 342.7117976 342.7117976 30.0399532
0.5628000 0.7420189 378.8535733 378.8535733 29.9643648
0.6310500 0.7233527 418.3642345 418.3642345 29.8897858
0.7087500 0.7039853 462.1772092 462.1772092 29.8155601
0.7948500 0.6845446 509.4064579 509.4064579 29.7442292
0.8914500 0.6648740 560.9024314 560.9024314 29.6752870
1.0006500 0.6449221 617.4052396 617.4052396 29.6088757
1.1227651 0.6249769 678.6654904 678.6654904 29.5463244
1.2594751 0.6051181 745.0966158 745.0966158 29.4881427
1.4127226 0.5853736 817.1665702 817.1665702 29.4343964
1.5858151 0.5656555 895.8684882 895.8684882 29.3855202
1.7787526 0.5463580 980.6209232 980.6209232 29.3426986
1.9959451 0.5273302 1072.7364891 1072.7364891 29.3060034
2.2393220 0.5087543 1172.3463036 1172.3463036 29.2760950
2.5125215 0.4904773 1280.1815781 1280.1815781 29.2536085
2.8192921 0.4725437 1396.8821609 1396.8821609 29.2388434
3.1631068 0.4549490 1522.8467307 1522.8467307 29.2332853
3.5483644 0.4379274 1658.7178204 1658.7178204 29.2373060
3.9810846 0.4215494 1805.6224321 1805.6224321 29.2512892
4.4672872 0.4059619 1964.5457912 1964.5457912 29.2754428
5.0118948 0.3905234 2135.9094586 2135.9094586 29.3105018
5.6245099 0.3755579 2321.2780554 2321.2780554 29.3555537
6.3098094 0.3610147 2520.6632295 2520.6632295 29.4104654
7.0803644 0.3468975 2736.1106210 2736.1106210 29.4771495
7.9440561 0.3331175 2968.0852032 2968.0852032 29.5544539
8.9125633 0.3201516 3217.9736602 3217.9736602 29.6440691
10.0014481 0.3073967 3487.9090490 3487.9090490 29.7404505
11.2210876 0.2948695 3778.1545383 3778.1545383 29.8416283
12.5894367 0.2829982 4090.2696998 4090.2696998 29.9416296
14.1269504 0.2728107 4427.9280083 4427.9280083 30.0428429
15.8491767 0.2626726 4791.9292454 4791.9292454 30.1476349
17.7840324 0.2546626 5187.2659320 5187.2659320 30.2480970
19.9529062 0.2456873 5616.1794802 5616.1794802 30.3440101
22.3872322 0.2357229 6080.1648028 6080.1648028 30.4372976
25.1199938 0.2249715 6576.0892183 6576.0892183 30.5094083
28.1840786 0.2176372 7110.9855414 7110.9855414 30.5586397
31.6237393 0.2106114 7693.2412075 7693.2412075 30.6185638
35.4826072 0.2040062 8325.6982536 8325.6982536 30.6576462
39.8132470 0.1933048 9006.0803607 9006.0803607 30.6869108
44.6694872 0.1841471 9729.5384199 9729.5384199 30.7074153
50.1205675 0.1767984 10505.0256923 10505.0256923 30.7466378
56.2377471 0.1707051 11345.8934677 11345.8934677 30.7485407
63.0967693 0.1638437 12251.5045360 12251.5045360 30.7717283
70.7954662 0.1585890 13232.4372635 13232.4372635 30.7656926
79.4340106 0.1507546 14289.2669876 14289.2669876 30.7497756
89.1259377 0.1480496 15441.9124652 15441.9124652 30.7063533
100.0026275 0.1442251 16695.6300520 16695.6300520 30.6668222
112.2074471 0.1427331 18072.6049683 18072.6049683 30.6110519
125.8964104 0.1370642 19583.8370751 19583.8370751 30.5981285
141.2559945 0.1309919 21209.6658416 21209.6658416 30.5536487
158.4947918 0.1243361 22948.2682001 22948.2682001 30.4500414
177.8326602 0.1252398 24851.7267335 24851.7267335 30.3756409
199.5344894 0.1190273 26940.4814859 26940.4814859 30.3066781
223.8731455 0.1119642 29179.1322492 29179.1322492 30.1643855
251.1895596 0.1092697 31546.6600437 31546.6600437 30.1133803
281.8404883 0.0989255 34051.7203806 34051.7203806 29.9665512
316.2378815 0.0940811 36703.5342051 36703.5342051 29.8038715
354.8252370 0.0903094 39515.6207507 39515.6207507 29.5576665
398.1250863 0.0827708 42551.5331322 42551.5331322 29.3892871
446.6934609 0.0883832 45860.4191224 45860.4191224 29.1803229
501.1903976 0.0820886 49553.6249916 49553.6249916 28.9159485
562.3470481 0.0690606 53210.7482390 53210.7482390 28.7063510
630.9576992 0.0691321 56945.8556890 56945.8556890 28.3244396
707.9626349 0.0639980 61034.3873986 61034.3873986 28.0405886
794.3311114 0.0678115 65590.5780511 65590.5780511 27.7610373
891.2901875 0.0632704 70383.6843048 70383.6843048 27.4019836
1000.0152949 0.0576707 75577.2026085 75577.2026085 27.0026179
1122.0453570 0.0528144 80898.5950199 80898.5950199 26.6178797
1258.9519017 0.0513351 86368.4381806 86368.4381806 26.1724428
1412.6025846 0.0446129 92565.9988257 92565.9988257 25.8630887
1584.9192513 0.0490581 99296.5353197 99296.5353197 25.3862701
1778.3297629 0.0450741 106472.7495796 106472.7495796 24.9614807
1995.3396487 0.0322065 113580.3365534 113580.3365534 24.5176932
2238.7495208 0.0291199 120233.4427826 120233.4427826 24.0170227
2511.9332487 0.0268208 126329.2657880 126329.2657880 23.4083702
2818.4067961 0.0294203 132944.3035212 132944.3035212 22.9767693
3162.3160538 0.0315786 139881.8101144 139881.8101144 22.4329599
3548.2246552 0.0334419 148473.6676935 148473.6676935 21.8973023
3981.0824729 0.0262371 158388.4781567 158388.4781567 21.3065768
4466.8445267 0.0275462 169250.5022522 169250.5022522 20.7241171
5011.9508737 0.0327757 182185.3510634 182185.3510634 20.2153754
5623.4686414 0.0292436 196282.4864590 196282.4864590 19.5912344
6309.6060499 0.0261393 210831.7248018 210831.7248018 18.9689957
7079.5178905 0.0288235 225912.8911047 225912.8911047 18.3964130
7943.3360745 0.0246455 241704.4767832 241704.4767832 17.9019962
8912.5538779 0.0198072 257122.7275278 257122.7275278 17.5003629
10000.0576380 0.0269007 274129.6993471 274129.6993471 16.9261258
11220.2837932 0.0206386 293353.8183293 293353.8183293 16.3735475
12589.2832138 0.0263926 315725.2452830 315725.2452830 15.8593860
14125.4898594 0.0261574 344470.2109786 344470.2109786 15.3556130
15849.0266991 0.0178550 370219.3209097 370219.3209097 14.9819071
17782.8284773 0.0202786 401091.7241504 401091.7241504 14.6158314
19952.6405589 0.0106183 429159.7768878 429159.7768878 14.2489641
22387.3110130 0.0083932 451141.8820679 451141.8820679 13.8919600
25118.9399788 0.0070501 472717.1034171 472717.1034171 13.5156824
28183.8378200 0.0116394 495527.5957974 495527.5726272 13.0437265
31622.8492882 0.0101664 533175.9182572 533175.8950869 12.8320566
35481.3448326 0.0145946 575897.7041364 575897.6809662 12.5425123
39810.8123001 0.0192583 627968.7068769 627968.6837067 12.1834233
44668.4408210 0.0100960 677854.3045580 677854.2813878 11.7568805
50118.8218320 0.0137649 742234.1592403 742234.1360700 11.4742578
56234.1823694 0.0166328 811745.0381345 811745.0149642 11.1386354
63095.8439737 0.0151733 889000.7629173 889000.7397470 10.7993646
70794.7386130 0.0117263 962609.1821119 962609.1589416 10.6043035
79432.9897122 0.0117997 1044268.3812158 1044268.3580455 10.3228313
89125.2011949 0.0072606 1113136.5159999 1113123.7261273 10.1247473
100000.1496297 0.0135438 1208573.3301642 1208539.5416345 9.8253586
112201.9339986 0.0146903 1331269.1604233 1331235.3718936 9.5470592
125892.6936390 0.0084549 1439431.4036311 1439397.2506127 9.4393010
141253.8311154 0.0042682 1524302.6829149 1524037.6657015 9.1954450
