6001 -3.85 0 788.738
0.0325500 0.9671688 25.2458014 25.2458014 30.0103004
0.0357000 0.9643431 27.6442195 27.6442195 30.0598302
0.0399000 0.9602003 30.8298080 30.8298080 30.1214216
0.0451500 0.9552881 34.7931729 34.7931729 30.1938559
0.0504000 0.9502928 38.7356245 38.7356245 30.2625680
0.0567000 0.9449281 43.4427984 43.4427984 30.3413890
0.0640500 0.9379848 48.8971815 48.8971815 30.4315040
0.0714000 0.9312556 54.3112862 54.3112862 30.5225793
0.0798000 0.9241456 60.4545308 60.4545308 30.6062047
0.0892500 0.9147836 67.3037090 67.3037090 30.7092751
0.1008000 0.9047720 75.5889562 75.5889562 30.8220709
0.1123500 0.8949992 83.7822026 83.7822026 30.9271135
0.1260000 0.8855017 93.3610329 93.3610329 31.0503618
0.1417500 0.8732753 104.2803030 104.2803030 31.1897795
0.1585500 0.8602907 115.7611040 115.7611040 31.2946629
0.1785000 0.8478360 129.1920723 129.1920723 31.4175585
0.2005500 0.8355561 143.8229068 143.8229068 31.5396086
0.2247000 0.8213781 159.5978100 159.5978100 31.6597941
0.2520000 0.8060256 177.1217693 177.1217693 31.7679273
0.2824500 0.7923379 196.3062700 196.3062700 31.8661897
0.3171000 0.7763040 217.7256186 217.7256186 31.9976890
0.3549000 0.7606656 240.6243844 240.6243844 32.0939039
0.3990000 0.7417001 266.7438128 266.7438128 32.2037655
0.4473000 0.7257961 294.6898548 294.6898548 32.2977601
0.5019000 0.7091611 325.5346139 325.5346139 32.3833757
0.5628000 0.6896564 359.1213397 359.1213397 32.4469583
0.6310500 0.6696501 395.7117592 395.7117592 32.5044517
0.7087500 0.6494984 436.0954728 436.0954728 32.6076461
0.7948500 0.6299966 479.4809095 479.4809095 32.6495420
0.8914500 0.6106818 526.6872558 526.6872558 32.6701115
1.0006500 0.5914746 578.3252416 578.3252416 32.7151584
1.1227651 0.5724545 634.2959995 634.2959995 32.7616114
1.2594751 0.5577755 695.1877819 695.1877819 32.8248190
1.4127226 0.5398809 761.6374429 761.6374429 32.8388768
1.5858151 0.5192306 833.9158242 833.9158242 32.8648740
1.7787526 0.4997735 911.4945812 911.4945812 32.9131720
1.9959451 0.4848954 995.7568797 995.7568797 32.9334824
2.2393220 0.4693454 1087.0507748 1087.0507748 32.9696192
2.5125215 0.4479688 1185.5717827 1185.5717827 32.9819735
2.8192921 0.4289867 1291.4956165 1291.4956165 32.9911085
3.1631068 0.4120767 1405.4743499 1405.4743499 33.0176957
3.5483644 0.3992132 1528.5531565 1528.5531565 33.0596460
3.9810846 0.3872896 1662.6821401 1662.6821401 33.0602485
4.4672872 0.3759211 1809.1421657 1809.1421657 33.0580688
5.0118948 0.3625790 1967.2351639 1967.2351639 33.0722214
5.6245099 0.3492176 2138.6230213 2138.6230213 33.0736245
6.3098094 0.3348770 2322.6897286 2322.6897286 33.1189882
7.0803644 0.3253315 2522.6362707 2522.6362707 33.1598235
7.9440561 0.3120561 2738.9676146 2738.9676146 33.1248113
8.9125633 0.3025097 2972.8774297 2972.8774297 33.1246757
10.0014481 0.2880404 3226.1204607 3226.1204607 33.0787866
11.2210876 0.2802461 3498.6242249 3498.6242249 33.0875902
12.5894367 0.2724664 3793.9734354 3793.9734354 33.1641794
14.1269504 0.2636147 4118.4537151 4118.4537151 33.0723557
15.8491767 0.2508476 4469.2298060 4469.2298060 33.1602877
17.7840324 0.2463037 4843.9074094 4843.9074094 33.1608107
19.9529062 0.2395551 5258.2524440 5258.2524440 33.1928682
22.3872322 0.2278346 5705.6821528 5705.6821528 33.1842663
25.1199938 0.2149294 6185.3899436 6185.3899436 33.1608449
28.1840786 0.2110788 6700.0268919 6700.0268919 33.0970930
31.6237393 0.2052322 7264.9966710 7264.9966710 33.1038432
35.4826072 0.2033338 7889.1405524 7889.1405524 33.0712462
39.8132470 0.1924219 8560.2588755 8560.2588755 33.1750246
44.6694872 0.1900417 9286.2856530 9286.2856530 33.1130301
50.1205675 0.1889775 10098.0425224 10098.0425224 33.1024579
56.2377471 0.1808212 10988.5917505 10988.5917505 33.0618230
63.0967693 0.1772835 11948.4136028 11948.4136028 33.0359961
70.7954662 0.1685887 13001.3631831 13001.3631831 33.0126342
79.4340106 0.1603639 14134.4900427 14134.4900427 33.0129211
89.1259377 0.1445821 15343.5920421 15343.5920421 33.0185925
100.0026275 0.1494663 16643.2012284 16643.2012284 32.9946607
112.2074471 0.1461298 18062.0238184 18062.0238184 32.9667725
125.8964104 0.1389770 19598.9035337 19598.9035337 32.8823277
141.2559945 0.1334436 21267.0677316 21267.0677316 32.8405599
158.4947918 0.1313222 23106.9169691 23106.9169691 32.7875936
177.8326602 0.1229980 25084.1290856 25084.1290856 32.7452051
199.5344894 0.1243585 27192.2749642 27192.2749642 32.6618082
223.8731455 0.1146858 29471.8870309 29471.8870309 32.6016575
251.1895596 0.1151474 31954.2601413 31954.2601413 32.4964361
281.8404883 0.1093132 34668.9905570 34668.9905570 32.4345251
316.2378815 0.1013118 37550.6804533 37550.6804533 32.3553538
354.8252370 0.1020119 40716.5630405 40716.5630405 32.2302674
398.1250863 0.0915273 44024.1501047 44024.1501047 32.1704418
446.6934609 0.0938501 47446.0022316 47446.0022316 31.9850009
501.1903976 0.0802487 51226.9288650 51226.9288650 31.8251650
562.3470481 0.0781441 55133.9153040 55133.9153040 31.6837232
630.9576992 0.0753154 59175.0591943 59175.0591943 31.4360052
707.9626349 0.0676872 63488.8308083 63488.8308083 31.2017210
794.3311114 0.0624465 68182.3378501 68182.3378501 31.0055203
891.2901875 0.0596539 73485.1066490 73485.1066490 30.7870394
1000.0152949 0.0579930 78763.5524976 78763.5524976 30.4834132
1122.0453570 0.0535886 84286.7475497 84286.7475497 30.1732237
1258.9519017 0.0544451 90303.1352444 90303.1352444 29.9212606
1412.6025846 0.0579370 96796.0020313 96796.0020313 29.5655164
1584.9192513 0.0503219 103538.4661720 103538.4661720 29.3064834
1778.3297629 0.0388455 110526.7806161 110526.7806161 28.9114674
1995.3396487 0.0413456 118021.0930204 118021.0930204 28.7272666
2238.7495208 0.0464451 126082.4177781 126082.4177781 28.3022001
2511.9332487 0.0438379 134317.0629395 134317.0629395 27.8173828
2818.4067961 0.0356478 143576.2891070 143576.2891070 27.3139683
3162.3160538 0.0296182 152975.6170248 152975.6170248 26.7678153
3548.2246552 0.0240271 162366.0031376 162366.0031376 26.3573424
3981.0824729 0.0237148 171934.3760583 171934.3760583 25.9439453
4466.8445267 0.0303248 182149.1087251 182149.1087251 25.4595535
5011.9508737 0.0259469 192726.1823950 192726.1823950 24.9404614
5623.4686414 0.0119270 202174.0334258 202174.0334258 24.4211703
6309.6060499 0.0183076 212069.4933726 212069.4933726 23.8456945
7079.5178905 0.0183851 222959.6418666 222959.6418666 23.4247744
7943.3360745 0.0143691 233244.1849772 233244.1849772 22.9188148
8912.5538779 0.0122836 244551.3338043 244551.3338043 22.4644327
10000.0576380 0.0142965 256466.4779361 256466.4779361 22.0161629
11220.2837932 0.0088778 269689.0484934 269689.0484934 21.6325562
12589.2832138 0.0107492 282420.7405021 282419.1169313 21.0997196
14125.4898594 0.0175573 303174.2238698 303172.6002990 20.6028742
15849.0266991 0.0134376 329108.2192610 329106.5956903 20.2861575
17782.8284773 0.0169803 354741.1741037 354739.5505329 19.8675870
19952.6405589 0.0205020 386093.2455178 386091.6219471 19.4918076
22387.3110130 0.0163882 415547.4038715 415545.7764374 19.0942519
25118.9399788 0.0139256 446150.1002762 446148.4728421 18.8852178
28183.8378200 0.0180783 478787.8818507 478786.1913099 18.6865344
31622.8492882 0.0107670 512777.9058730 512775.5835578 18.5378755
35481.3448326 0.0043488 539658.3530694 539612.1263658 18.4292358
39810.8123001 0.0056441 564571.8032086 564393.5119859 18.2209949
44668.4408210 0.0074611 592389.1201914 592043.1833937 18.0033182
50118.8218320 0.0111093 629727.9196691 629331.6640177 17.7313846
56234.1823694 0.0094448 671360.2875863 670895.2454251 17.4192143
63095.8439737 0.0054107 717216.3044366 716633.0277276 17.2202903
70794.7386130 0.0132682 787192.0963608 786603.6983535 17.0610169
79432.9897122 0.0207211 881717.9147087 881128.7280448 17.0237192
89125.2011949 0.0174862 999928.3670047 999338.9816371 17.0430341
100000.1496297 0.0068037 1120005.7952238 1119415.9858422 16.9599920
112201.9339986 0.0136183 1226965.9128886 1226363.3524794 17.0480029
125892.6936390 0.0094902 1349675.0104180 1349057.8493394 17.1038892
141253.8311154 0.0136981 1467951.5348922 1467275.5574632 17.3810507
158489.5061793 0.0037307 1584058.6904661 1583130.1449370 17.4392654
