7007 -3.8 0 897.731
0.0325500 0.9582097 28.4110820 28.4110820 89.6532332
0.0357000 0.9550376 31.1145714 31.1145714 89.7210009
0.0399000 0.9512481 34.7063821 34.7063821 89.8046507
0.0451500 0.9462722 39.1753366 39.1753366 89.9059553
0.0504000 0.9420405 43.6232736 43.6232736 90.0028539
0.0567000 0.9371270 48.9343072 48.9343072 90.1087745
0.0640500 0.9315810 55.0970517 55.0970517 90.2215401
0.0714000 0.9263520 61.2238687 61.2238687 90.3423230
0.0798000 0.9196240 68.1817259 68.1817259 90.4579966
0.0892500 0.9132393 75.9557783 75.9557783 90.5952716
0.1008000 0.9058923 85.3853109 85.3853109 90.7559760
0.1123500 0.8984247 94.7373694 94.7373694 90.9105253
0.1260000 0.8903383 105.6929431 105.6929431 91.0620272
0.1417500 0.8802588 118.2073710 118.2073710 91.2049976
0.1585500 0.8700551 131.4003018 131.4003018 91.3721326
0.1785000 0.8599810 146.8815174 146.8815174 91.5346523
0.2005500 0.8487097 163.7880514 163.7880514 91.6898603
0.2247000 0.8377989 182.0694822 182.0694822 91.8447708
0.2520000 0.8246248 202.4278984 202.4278984 92.0005451
0.2824500 0.8105606 224.7729791 224.7729791 92.1649382
0.3171000 0.7962772 249.7629969 249.7629969 92.3234837
0.3549000 0.7806381 276.5174483 276.5174483 92.4255433
0.3990000 0.7652935 307.1217114 307.1217114 92.5702072
0.4473000 0.7500618 339.9409728 339.9409728 92.6108322
0.5019000 0.7324312 376.2518593 376.2518593 92.7839968
0.5628000 0.7159997 415.7800714 415.7800714 92.8612845
0.6310500 0.6979754 459.0789463 459.0789463 92.9405082
0.7087500 0.6798720 507.1374546 507.1374546 92.9755383
0.7948500 0.6624631 559.0151628 559.0151628 93.0221471
0.8914500 0.6447398 615.6187577 615.6187577 93.0611062
1.0006500 0.6285443 678.0716940 678.0716940 93.1039430
1.1227651 0.6103228 745.9609843 745.9609843 93.1423365
1.2594751 0.5930328 819.8046064 819.8046064 93.2483036
1.4127226 0.5767043 900.2329454 900.2329454 93.2492542
1.5858151 0.5581607 988.3758391 988.3758391 93.3101672
1.7787526 0.5389925 1083.3440210 1083.3440210 93.3144871
1.9959451 0.5223984 1186.6344705 1186.6344705 93.3107445
2.2393220 0.5062979 1299.1112539 1299.1112539 93.3141161
2.5125215 0.4889020 1421.0623974 1421.0623974 93.3389084
2.8192921 0.4725963 1553.4549989 1553.4549989 93.3773155
3.1631068 0.4578048 1696.7736751 1696.7736751 93.3545476
3.5483644 0.4427328 1852.4711943 1852.4711943 93.3769466
3.9810846 0.4284315 2021.5943465 2021.5943465 93.4622719
4.4672872 0.4186938 2206.5692760 2206.5692760 93.4064693
5.0118948 0.4013048 2407.4380361 2407.4380361 93.4390672
5.6245099 0.3901301 2624.8519788 2624.8519788 93.4297206
6.3098094 0.3797012 2861.0266520 2861.0266520 93.3645402
7.0803644 0.3685292 3120.3651955 3120.3651955 93.3648453
7.9440561 0.3566273 3401.4661257 3401.4661257 93.4570156
8.9125633 0.3473627 3706.9898512 3706.9898512 93.3823906
10.0014481 0.3327363 4038.4999595 4038.4999595 93.3349457
11.2210876 0.3278708 4398.8219019 4398.8219019 93.3800153
12.5894367 0.3168374 4794.0404648 4794.0404648 93.3983563
14.1269504 0.3118772 5227.3156216 5227.3156216 93.4423075
15.8491767 0.2999167 5701.4725898 5701.4725898 93.3504926
17.7840324 0.2915873 6214.2249288 6214.2249288 93.3265772
19.9529062 0.2840112 6770.4161583 6770.4161583 93.3220677
22.3872322 0.2731712 7386.4848559 7386.4848559 93.3357880
25.1199938 0.2655656 8050.3444141 8050.3444141 93.3803845
28.1840786 0.2606614 8776.9993718 8776.9993718 93.3290629
31.6237393 0.2536744 9572.7814319 9572.7814319 93.2469015
35.4826072 0.2466289 10447.4150692 10447.4150692 93.2348258
39.8132470 0.2433913 11411.4238271 11411.4238271 93.2780898
44.6694872 0.2344177 12455.2950057 12455.2950057 93.2200632
50.1205675 0.2263669 13594.5109216 13594.5109216 93.2583241
56.2377471 0.2270426 14842.3814030 14842.3814030 93.2053546
63.0967693 0.2152072 16206.0474807 16206.0474807 93.1554379
70.7954662 0.2098556 17691.4888884 17691.4888884 93.1009815
79.4340106 0.2074084 19341.0772607 19341.0772607 93.0863098
89.1259377 0.2079899 21147.3225360 21147.3225360 93.0341018
100.0026275 0.2022757 23137.7050220 23137.7050220 93.0290880
112.2074471 0.1915623 25304.4151870 25304.4151870 92.9367304
125.8964104 0.1903665 27661.4357964 27661.4357964 92.9265007
141.2559945 0.1947882 30250.2588228 30250.2588228 92.8383246
158.4947918 0.1795348 33074.0600888 33074.0600888 92.6717064
177.8326602 0.1774242 36162.6996691 36162.6996691 92.6609722
199.5344894 0.1688380 39531.4489602 39531.4489602 92.5593665
223.8731455 0.1647474 43187.8015448 43187.8015448 92.4101327
251.1895596 0.1631225 47195.2682828 47195.2682828 92.3303188
281.8404883 0.1582344 51624.4017715 51624.4017715 92.2266960
316.2378815 0.1502216 56408.7597870 56408.7597870 92.0542334
354.8252370 0.1482683 61486.2265592 61486.2265592 91.9340295
