7003 -4.66 0 797.409
0.0325500 0.9795298 25.7135873 25.7135873 32.5323557
0.0357000 0.9773539 28.1703615 28.1703615 32.5156062
0.0399000 0.9744745 31.4376008 31.4376008 32.4936187
0.0451500 0.9709082 35.5081679 35.5081679 32.4666748
0.0504000 0.9673774 39.5638942 39.5638942 32.4403140
0.0567000 0.9631881 44.4113880 44.4113880 32.4094249
0.0640500 0.9583654 50.0404057 50.0404057 32.3743752
0.0714000 0.9536120 55.6413908 55.6413908 32.3403454
0.0798000 0.9482617 62.0087009 62.0087009 32.3026476
0.0892500 0.9423462 69.1295099 69.1295099 32.2616860
0.1008000 0.9352627 77.7728811 77.7728811 32.2135898
0.1123500 0.9283381 86.3518138 86.3518138 32.1675277
0.1260000 0.9203467 96.4094091 96.4094091 32.1155403
0.1417500 0.9113799 107.9078766 107.9078766 32.0586145
0.1585500 0.9020986 120.0507793 120.0507793 32.0012183
0.1785000 0.8914463 134.3119385 134.3119385 31.9371264
0.2005500 0.8801169 149.8811031 149.8811031 31.8709325
0.2247000 0.8682115 166.7094619 166.7094619 31.8034447
0.2520000 0.8553539 185.4633205 185.4633205 31.7327608
0.2824500 0.8417206 206.0595998 206.0595998 31.6601024
0.3171000 0.8270408 229.1055996 229.1055996 31.5843340
0.3549000 0.8119635 253.7984464 253.7984464 31.5089257
0.3990000 0.7954849 282.0517370 282.0517370 31.4291266
0.4473000 0.7786756 312.3550861 312.3550861 31.3503000
0.5019000 0.7610499 345.8613658 345.8613658 31.2702617
0.5628000 0.7429307 382.3659411 382.3659411 31.1904545
0.6310500 0.7243242 422.2768700 422.2768700 31.1108199
0.7087500 0.7050413 466.5399613 466.5399613 31.0304997
0.7948500 0.6856819 514.2620918 514.2620918 30.9519603
0.8914500 0.6660838 566.3036620 566.3036620 30.8744359
1.0006500 0.6462050 623.4144103 623.4144103 30.7976507
1.1227651 0.6263899 685.3471573 685.3471573 30.7226718
1.2594751 0.6066694 752.5272901 752.5272901 30.6495581
1.4127226 0.5870867 825.4327717 825.4327717 30.5783672
1.5858151 0.5676027 905.0838964 905.0838964 30.5087282
1.7787526 0.5485340 990.9022152 990.9022152 30.4416502
1.9959451 0.5297463 1084.2318510 1084.2318510 30.3764955
2.2393220 0.5114198 1185.2116019 1185.2116019 30.3135794
2.5125215 0.4935650 1294.6256303 1294.6256303 30.2527410
2.8192921 0.4761871 1413.1778017 1413.1778017 30.1939406
3.1631068 0.4593543 1541.3579592 1541.3579592 30.1372524
3.5483644 0.4431015 1679.9081266 1679.9081266 30.0826146
3.9810846 0.4273925 1830.0175786 1830.0175786 30.0298631
4.4672872 0.4122069 1992.6926569 1992.6926569 29.9789218
5.0118948 0.3976241 2168.4487157 2168.4487157 29.9298251
5.6245099 0.3835707 2359.1604369 2359.1604369 29.8822672
6.3098094 0.3701555 2565.0002155 2565.0002155 29.8363862
7.0803644 0.3572404 2788.3628340 2788.3628340 29.7918102
7.9440561 0.3448876 3030.0266622 3030.0266622 29.7485309
8.9125633 0.3330656 3291.6901653 3291.6901653 29.7064119
10.0014481 0.3216604 3575.8012673 3575.8012673 29.6652363
11.2210876 0.3107034 3883.1633699 3883.1633699 29.6250040
12.5894367 0.3001680 4216.2791172 4216.2791172 29.5855198
14.1269504 0.2900155 4577.9042869 4577.9042869 29.5465899
15.8491767 0.2802501 4969.3011127 4969.3011127 29.5082677
17.7840324 0.2708886 5394.2710093 5394.2710093 29.4702504
19.9529062 0.2619190 5854.7985870 5854.7985870 29.4324411
22.3872322 0.2532848 6354.6270650 6354.6270650 29.3945164
25.1199938 0.2449873 6897.2918747 6897.2918747 29.3564053
28.1840786 0.2369931 7485.8459605 7485.8459605 29.3180701
31.6237393 0.2293510 8125.1131496 8125.1131496 29.2792280
35.4826072 0.2219453 8819.1679958 8819.1679958 29.2398497
39.8132470 0.2148220 9572.9802770 9572.9802770 29.1996918
44.6694872 0.2079858 10391.2632131 10391.2632131 29.1585404
50.1205675 0.2013937 11280.6553958 11280.6553958 29.1161318
56.2377471 0.1950162 12247.0825538 12247.0825538 29.0723374
63.0967693 0.1888802 13296.4744478 13296.4744478 29.0265025
70.7954662 0.1828999 14437.2072335 14437.2072335 28.9782599
79.4340106 0.1771250 15676.6872902 15676.6872902 28.9275136
89.1259377 0.1716809 17024.0156067 17024.0156067 28.8738797
100.0026275 0.1663004 18489.1054284 18489.1054284 28.8162472
112.2074471 0.1610165 20081.2767589 20081.2767589 28.7539483
125.8964104 0.1558406 21809.9233744 21809.9233744 28.6872165
141.2559945 0.1507596 23686.6471121 23686.6471121 28.6150032
158.4947918 0.1457928 25724.2392682 25724.2392682 28.5371746
177.8326602 0.1409225 27933.9346260 27933.9346260 28.4530584
199.5344894 0.1360640 30329.9121437 30329.9121437 28.3635301
223.8731455 0.1316313 32926.2115629 32926.2115629 28.2681564
251.1895596 0.1272091 35744.0509417 35744.0509417 28.1711811
281.8404883 0.1229035 38800.3565028 38800.3565028 28.0667777
316.2378815 0.1185127 42109.2432217 42109.2432217 27.9518138
354.8252370 0.1148810 45696.8294642 45696.8294642 27.8244666
398.1250863 0.1116610 49605.8649714 49605.8649714 27.6822937
446.6934609 0.1089618 53877.4429992 53877.4429992 27.5167204
501.1903976 0.1058704 58546.1577681 58546.1577681 27.3495134
562.3470481 0.1021977 63621.7286562 63621.7286562 27.1719559
630.9576992 0.0981547 69104.9179239 69104.9179239 26.9854914
707.9626349 0.0945487 75022.2955440 75022.2955440 26.7794004
794.3311114 0.0903269 81385.0812201 81385.0812201 26.5545796
891.2901875 0.0864415 88218.6228597 88218.6228597 26.3043774
1000.0152949 0.0834503 95587.3237357 95587.3237357 26.0120492
1122.0453570 0.0803068 103540.0579108 103540.0579108 25.7360565
1258.9519017 0.0790236 112217.5349312 112217.5349312 25.4680531
1412.6025846 0.0750234 121688.3007616 121688.3007616 25.1603701
1584.9192513 0.0703367 131679.0621383 131679.0621383 24.8523037
1778.3297629 0.0652887 142099.4685944 142099.4685944 24.5246436
1995.3396487 0.0612496 153011.7761276 153011.7761276 24.2166391
2238.7495208 0.0575394 164579.4575722 164579.4575722 23.9150524
2511.9332487 0.0535258 176667.6092216 176667.6092216 23.6039636
2818.4067961 0.0517666 189437.9949964 189437.9949964 23.2611800
3162.3160538 0.0491785 203178.1957852 203178.1957852 22.8664167
3548.2246552 0.0461174 217946.0566520 217946.0566520 22.4810121
3981.0824729 0.0403959 232788.7284630 232788.7284630 22.0108992
4466.8445267 0.0390095 248125.1171881 248125.1171881 21.5539456
5011.9508737 0.0376894 264870.6998714 264870.6998714 20.9523239
5623.4686414 0.0337283 281711.1298005 281711.1298005 20.4706003
6309.6060499 0.0324084 299559.2169795 299559.2169795 19.9962509
7079.5178905 0.0300270 318647.5702923 318647.5702923 19.5359272
7943.3360745 0.0300975 338723.1700273 338723.1700273 19.1587377
8912.5538779 0.0342734 363943.6807182 363943.6807182 18.7963795
10000.0576380 0.0334579 393740.7876020 393740.7876020 18.3974626
11220.2837932 0.0313950 425331.2630196 425331.2630196 18.0068936
12589.2832138 0.0261585 456747.5236269 456747.5236269 17.6244186
14125.4898594 0.0205858 485300.4188450 485300.4188450 17.2314837
15849.0266991 0.0175290 510781.1082055 510781.1082055 16.9607504
17782.8284773 0.0177152 538719.9777069 538719.9777069 16.7274009
19952.6405589 0.0187633 570508.4772986 570508.4772986 16.4828248
22387.3110130 0.0126231 599033.0776360 599033.0776360 16.2478884
25118.9399788 0.0154345 630629.9946746 630629.9946746 16.0263037
28183.8378200 0.0175908 672573.4265539 672573.4265539 15.7964883
31622.8492882 0.0216356 728787.9389894 728787.9389894 15.7006467
35481.3448326 0.0225185 796282.0926500 796282.0926500 15.6250553
39810.8123001 0.0234516 876946.6867555 876946.6867555 15.5102459
44668.4408210 0.0227698 966263.4311646 966263.4311646 15.2787703
50118.8218320 0.0209793 1061455.2582845 1061455.2582845 15.1994004
56234.1823694 0.0220209 1164117.2664266 1164117.2664266 15.1051464
63095.8439737 0.0200963 1283194.9271230 1283194.9271230 14.9598918
70794.7386130 0.0198434 1399191.1550418 1399191.1550418 14.7434595
79432.9897122 0.0207912 1539303.4740975 1539303.4740975 14.6240072
89125.2011949 0.0163931 1680613.5349464 1680613.5349464 14.4483103
100000.1496297 0.0144872 1810963.8320923 1810963.8320923 14.2039380
112201.9339986 0.0152599 1961947.4449927 1961947.4449927 14.0170219
125892.6936390 0.0112586 2109114.5832632 2109114.5832632 13.8746371
141253.8311154 0.0125439 2262435.6368885 2262435.6368885 13.6914674
