1032 0
0 4.1798 -0.0813758
1 13.8374 -0.0311196
2 24.1101 0.0191207
3 23.4001 0.0693372
4 32.2632 0.119522
5 39.0738 0.169667
6 40.943 0.219765
7 50.4181 0.269807
8 53.0762 0.319785
9 59.3106 0.369693
10 57.2617 0.419521
11 59.0352 0.469262
12 59.7481 0.518908
13 67.9839 0.568452
14 64.223 0.617885
15 62.8331 0.667199
16 66.5851 0.716387
17 82.903 0.765442
18 83.4208 0.814355
19 86.8799 0.863118
20 89.5733 0.911725
21 88.7221 0.960166
22 95.0117 1.00844
23 103.265 1.05652
24 101.947 1.10443
25 106.646 1.15213
26 103.362 1.19964
27 105.98 1.24693
28 109.839 1.294
29 110.986 1.34086
30 112.577 1.38747
31 119.847 1.43385
32 121.307 1.47998
33 117.6 1.52586
34 121.93 1.57147
35 127.782 1.61682
36 124.24 1.66189
37 130.926 1.70667
38 127.459 1.75117
39 135.153 1.79537
40 140.734 1.83926
41 138.672 1.88285
42 137.334 1.92611
43 139.071 1.96905
44 140.923 2.01166
45 143.835 2.05393
46 145.413 2.09586
47 146.543 2.13743
48 147.741 2.17864
49 145.235 2.21949
50 153.805 2.25997
51 152.013 2.30007
52 152.991 2.33979
53 153.696 2.37912
54 154.409 2.41805
55 154.504 2.45657
56 151.504 2.49469
57 158.799 2.5324
58 164.087 2.56968
59 170.452 2.60654
60 164.151 2.64296
61 165.846 2.67895
62 168.267 2.71449
63 168.302 2.74958
64 163.565 2.78422
65 164.384 2.8184
66 170.104 2.85211
67 173.907 2.88535
68 180.863 2.91812
69 178.02 2.9504
70 188.114 2.98219
71 182.83 3.0135
72 183.472 3.04431
73 182.971 3.07461
74 187.204 3.10441
75 183.523 3.1337
76 185.354 3.16247
77 192.166 3.19073
78 191.355 3.21845
79 186.063 3.24565
80 184.114 3.27232
81 188.364 3.29845
82 186.244 3.32403
83 193.208 3.34907
84 190.44 3.37357
85 190.541 3.3975
86 188.354 3.42088
87 193.055 3.4437
88 197.132 3.46596
89 189.473 3.48764
90 187.35 3.50876
91 197.601 3.5293
92 191.93 3.54926
93 187.826 3.56864
94 185.155 3.58744
95 186.299 3.60565
96 188.309 3.62327
97 190.902 3.64029
98 183.769 3.65672
99 183.903 3.67256
100 189.503 3.68779
101 190.287 3.70242
102 185.322 3.71644
103 186.362 3.72986
104 186.386 3.74266
105 187.495 3.75485
106 185.383 3.76643
107 189.168 3.7774
108 186.973 3.78775
109 180.487 3.79747
110 188.684 3.80658
111 180.234 3.81507
112 181.13 3.82293
113 181.914 3.83017
114 181.949 3.83678
115 186.913 3.84277
116 189.551 3.84813
117 187.252 3.85286
118 185.873 3.85696
119 189.678 3.86043
120 184.595 3.86327
121 174.144 3.86548
122 180.027 3.86706
123 184.469 3.868
124 184.372 3.86832
125 181.149 3.868
126 177.991 3.86705
127 177.584 3.86547
128 177.754 3.86326
129 170.515 3.86042
130 172.485 3.85695
131 175.115 3.85285
