1020 0
0 -7.13858 0.265024
1 3.5768 0.31528
2 -10.6794 0.365521
3 -2.85055 0.415737
4 -0.86149 0.465922
5 2.89349 0.516067
6 -10.3068 0.566165
7 9.26091 0.616207
8 -1.48781 0.666185
9 7.51023 0.716093
10 3.21741 0.765921
11 11.0074 0.815662
12 -2.8552 0.865308
13 -5.02876 0.914852
14 1.7326 0.964285
15 8.26268 1.0136
16 8.92046 1.06279
17 1.19699 1.11184
18 0.987954 1.16076
19 22.3208 1.20952
20 2.58461 1.25813
21 10.9277 1.30657
22 21.092 1.35484
23 18.5464 1.40293
24 10.8382 1.45083
25 19.2107 1.49853
26 22.5471 1.54604
27 20.8884 1.59333
28 27.9742 1.64041
29 20.344 1.68726
30 21.9136 1.73388
31 12.6825 1.78025
32 15.0317 1.82638
33 9.14286 1.87226
34 7.10295 1.91788
35 15.2066 1.96322
36 9.33795 2.00829
37 21.639 2.05308
38 6.35314 2.09757
39 14.894 2.14177
40 20.1989 2.18567
41 16.4018 2.22925
42 22.8971 2.27252
43 21.1931 2.31546
44 26.9342 2.35807
45 16.6582 2.40034
46 12.8312 2.44226
47 23.0368 2.48383
48 21.4133 2.52505
49 22.8813 2.5659
50 31.0815 2.60638
51 27.0754 2.64648
52 30.546 2.6862
53 17.7343 2.72552
54 22.4628 2.76445
55 23.8851 2.80298
56 23.2592 2.8411
57 34.627 2.8788
58 22.6042 2.91609
59 18.2961 2.95294
60 25.8582 2.98937
61 28.2923 3.02536
62 37.5322 3.0609
63 24.1391 3.09599
64 38.6934 3.13063
65 29.5678 3.16481
66 28.3035 3.19852
67 33.5312 3.23176
68 39.5465 3.26453
69 34.5583 3.29681
70 27.246 3.3286
71 27.8498 3.35991
72 43.1162 3.39072
73 32.9174 3.42102
74 37.0898 3.45082
75 35.2203 3.48011
76 32.7134 3.50888
77 29.7914 3.53714
78 26.1987 3.56487
79 31.1598 3.59207
80 34.476 3.61873
81 28.4052 3.64486
82 36.8466 3.67045
83 30.8127 3.69549
84 38.9226 3.71998
85 30.2834 3.74392
86 35.4084 3.7673
87 33.3218 3.79012
88 39.3512 3.81237
89 33.1736 3.83406
90 39.5579 3.85518
91 36.9143 3.87572
92 38.0163 3.89568
93 27.5955 3.91506
94 40.1046 3.93386
95 41.3504 3.95207
96 35.9028 3.96969
97 37.5469 3.98671
98 45.4075 4.00314
99 36.6185 4.01898
100 43.0881 4.03421
101 38.3172 4.04884
102 38.6007 4.06286
103 35.7151 4.07628
104 33.8697 4.08908
105 32.1523 4.10128
106 37.9891 4.11286
107 44.2538 4.12382
108 47.0131 4.13417
109 46.1536 4.1439
110 46.0419 4.15301
111 46.6515 4.16149
112 41.7693 4.16936
113 49.1223 4.17659
114 45.5214 4.18321
115 35.3593 4.18919
116 44.705 4.19455
117 38.0687 4.19928
118 42.3441 4.20338
119 39.9466 4.20686
120 45.9346 4.2097
121 43.3433 4.21191
122 40.7098 4.21348
123 44.1232 4.21443
124 53.1758 4.21475
125 45.9925 4.21443
126 46.535 4.21348
127 34.9932 4.2119
128 40.543 4.20969
129 40.1173 4.20685
130 50.6803 4.20338
131 47.0645 4.19928
132 39.4993 4.19455
133 35.2319 4.18919
134 44.1182 4.1832
135 30.7191 4.17659
136 39.6664 4.16935
137 34.5443 4.16149
138 42.6883 4.153
139 31.0786 4.14389
140 41.1898 4.13417
141 43.2937 4.12382
142 41.1358 4.11285
143 40.2097 4.10127
144 34.1468 4.08908
145 32.6601 4.07627
146 28.9462 4.06285
147 42.4685 4.04883
148 18.8325 4.0342
149 29.8578 4.01897
150 32.2901 4.00314
151 38.4766 3.98671
152 31.2879 3.96968
153 35.6242 3.95206
154 32.3886 3.93385
155 33.0393 3.91505
156 36.8441 3.89567
157 23.229 3.87571
158 19.9499 3.85517
159 28.4478 3.83405
160 32.744 3.81236
161 32.8703 3.79011
162 24.5337 3.76729
163 26.6435 3.74391
164 24.7665 3.71997
165 25.9905 3.69548
166 44.0086 3.67043
167 29.5683 3.64485
168 30.6764 3.61872
169 27.0708 3.59205
170 27.1132 3.56485
171 18.2305 3.53712
172 23.9351 3.50887
173 16.4948 3.4801
174 24.9291 3.45081
175 21.7286 3.42101
176 20.4321 3.3907
177 15.6082 3.35989
178 27.2445 3.32859
179 20.5567 3.29679
180 26.7565 3.26451
181 15.8371 3.23174
182 13.8853 3.1985
183 8.86336 3.16479
184 20.4264 3.13061
185 19.0921 3.09598
186 9.67193 3.06088
187 21.5213 3.02534
188 13.6754 2.98935
189 20.5871 2.95293
190 17.1275 2.91607
191 16.467 2.87879
192 9.56199 2.84108
193 15.4144 2.80296
194 6.78125 2.76443
195 20.6507 2.7255
196 10.8023 2.68618
197 10.0499 2.64646
198 14.4116 2.60636
199 5.06816 2.56588
200 2.43195 2.52503
201 6.01229 2.48381
202 10.3805 2.44224
203 -1.25893 2.40031
204 3.11346 2.35804
205 8.35613 2.31544
206 3.64469 2.2725
207 7.66699 2.22923
208 -6.3249 2.18565
209 3.6181 2.14175
210 -3.58382 2.09755
211 5.07899 2.05306
212 -14.7254 2.00827
213 -1.68032 1.9632
214 4.95402 1.91785
215 -1.44539 1.87224
216 -20.718 1.82636
217 -6.2736 1.78023
218 -5.5242 1.73385
219 -4.2926 1.68723
220 -14.8263 1.64038
221 -9.28309 1.59331
222 -11.6776 1.54601
223 -6.0876 1.49851
224 -13.5881 1.4508
225 -6.42555 1.4029
226 -23.2115 1.35481
227 0.739352 1.30654
228 -3.25774 1.2581
229 -22.0857 1.2095
230 -12.6858 1.16073
231 -19.0854 1.11182
232 -21.6018 1.06276
233 -33.1338 1.01358
234 -8.17304 0.964261
235 -13.8824 0.914828
236 -27.8788 0.865284
237 -18.6144 0.815638
238 -19.5735 0.765897
239 -16.5828 0.716068
240 -26.7505 0.666161
241 -26.9427 0.616182
242 -22.663 0.56614
243 -30.9167 0.516043
244 -21.5702 0.465897
245 -31.8148 0.415713
246 -19.0539 0.365496
247 -30.461 0.315256
248 -38.6622 0.264999
249 -24.6676 0.214735
250 -32.157 0.164471
251 -36.6224 0.114215
252 -43.7853 0.0639746
253 -41.4008 0.013758
254 -36.2203 -0.0364268
255 -38.6795 -0.0865719
256 -40.732 -0.136669
257 -41.5726 -0.186711
258 -43.9467 -0.23669
259 -46.5527 -0.286598
260 -45.0188 -0.336426
261 -48.9996 -0.386167
262 -52.5826 -0.435813
263 -55.6047 -0.485357
264 -56.6791 -0.53479
265 -42.7317 -0.584104
266 -50.2501 -0.633293
267 -52.4914 -0.682347
268 -52.5483 -0.73126
269 -55.6481 -0.780024
270 -48.073 -0.82863
271 -53.1703 -0.877072
272 -55.0129 -0.925341
273 -55.7851 -0.97343
274 -60.7411 -1.02133
275 -52.395 -1.06904
276 -51.1533 -1.11654
277 -58.7933 -1.16384
278 -52.8745 -1.21091
279 -58.5277 -1.25776
280 -69.4572 -1.30438
281 -57.7651 -1.35076
282 -62.6623 -1.39689
283 -66.6357 -1.44277
284 -68.3405 -1.48838
285 -54.2777 -1.53373
286 -68.4905 -1.5788
287 -61.888 -1.62358
288 -61.1983 -1.66808
289 -68.6529 -1.71228
290 -72.7103 -1.75617
291 -56.2728 -1.79976
292 -66.3516 -1.84302
293 -60.7931 -1.88596
294 -70.3111 -1.92857
295 -60.0427 -1.97084
296 -68.123 -2.01277
297 -70.6068 -2.05434
298 -63.228 -2.09555
299 -71.5291 -2.1364
300 -77.4526 -2.17688
301 -70.4897 -2.21698
302 -86.6688 -2.2567
303 -64.4609 -2.29603
304 -66.9875 -2.33496
305 -81.7645 -2.37349
306 -75.2416 -2.4116
